"sku","title","description","primary_image","retail_price","tags","characteristics","nutrition"
"077448","Chicken Sausage Breakfast Bowl","Have you ever been bowling for breakfast? It's quick, easy, and quite convenient-especially if you're talking 
about Trader Joe's Chicken Sausage Breakfast Bowl. This tasty combination of fluffy scrambled eggs, pieces of 
herb-seasoned Chicken Sausage, and shredded Cheddar cheese is already fully cooked and goes from freezer 
to table in just 2-3 microwave minutes. But maybe you don't have much time for the table part? That's ok, since 
this Chicken Sausage Breakfast Bowl is eminently portable and easy to enjoy almost anywhere, as long as you 
have a fork. (Although, if you tuck the Bowl contents into a TJ's tortilla, that fork won't even be necessary!)

When you do have more time, Trader Joe's Chicken Sausage Breakfast Bowl is easy to personalize. Add in 
some TJ's Shredded Hash Browns [sku 96969]. Garnish with some Organic Cilantro [sku 45683] and slices of 
avocado. Spice it up with a drizzle of Crunchy Chili Onion [sku 62480], or Chunky Garlic & Jalapeño hot Sauce 
[sku 74550]. You'll find seven-ounce Chicken Sausage Breakfast Bowls in our freezers, every day. Get one for 
tomorrow's breakfast, plus a spare for whenever the mood strikes!

Chicken Sausage Breakfast Bowl","https://www.traderjoes.com/content/dam/trjo/products/m20602/77448.png","4.29","[""Alfresco Dining"",""Brunch All Day"",""Rise & Shine""]",,"[{""display_sequence"":0,""panel_id"":1,""panel_title"":"""",""serving_size"":""1 bowl (198g)"",""calories_per_serving"":""380 ""}]"
"076185","Organic Silver Dollar Pancakes","It's true what the say: breakfast really is the most important meal of the day. But that doesn't mean it has to be 
the most labor-intensive. In fact, with Trader Joe's Organic Silver Dollar Pancakes, the only thing separating 
you from a stack of scrumptious, home-style, bite-sized Pancakes is a minute or two in the microwave. That 
means you have all the more time to focus on what might be the most important part of such an important 
meal: what, exactly, you'll choose to top them with!

With their subtly savory, from-scratch taste, our Organic Silver Dollar Pancakes are a natural fit with our 
Organic Vermont Maple Syrup [sku 66402] or Organic Maple Agave Syrup Blend [sku 99105]. That's hardly 
where we'd stop, however: hot from the microwave, these Organic Pancakes are especially delicious with a pat 
of melty butter, a cool dollop of whipped cream (or Coconut Whipped Topping [sku 58113], for that matter), or 
even a scoop of ice cream. And we simply adore them with sliced strawberries, sweet fruit preserves, or a nice 
spread of Speculoos Cookie Butter [sku 96761].

Organic Silver Dollar Pancakes","https://www.traderjoes.com/content/dam/trjo/products/m20602/76185.png","3.29","[""Brunch All Day"",""Family Style"",""Rise & Shine""]","[""Organic"",""Kosher""]","[{""display_sequence"":0,""panel_id"":1,""panel_title"":""Per container"",""serving_size"":""10 pancakes (110g)"",""calories_per_serving"":""240 ""}]"
"050113","Organic Silver Dollar Pancakes","It's true what the say: breakfast really is the most important meal of the day. But that doesn't mean it has to be 
the most labor-intensive. In fact, with Trader Joe's Organic Silver Dollar Pancakes, the only thing separating 
you from a stack of scrumptious, home-style, bite-sized Pancakes is a minute or two in the microwave. That 
means you have all the more time to focus on what might be the most important part of such an important 
meal: what, exactly, you'll choose to top them with!

With their subtly savory, from-scratch taste, our Organic Silver Dollar Pancakes are a natural fit with our 
Organic Vermont Maple Syrup [sku 66402] or Organic Maple Agave Syrup Blend [sku 99105]. That's hardly 
where we'd stop, however: hot from the microwave, these Organic Pancakes are especially delicious with a pat 
of melty butter, a cool dollop of whipped cream (or Coconut Whipped Topping [sku 58113], for that matter), or 
even a scoop of ice cream. And we simply adore them with sliced strawberries, sweet fruit preserves, or a nice 
spread of Speculoos Cookie Butter [sku 96761].

Organic Silver Dollar Pancakes","https://www.traderjoes.com/content/dam/trjo/products/m20602/50113.png","3.29","[""Brunch All Day"",""Family Style"",""Rise & Shine""]","[""Organic"",""Kosher""]","[{""display_sequence"":0,""panel_id"":1,""panel_title"":""Per serving"",""serving_size"":""11 min pancakes (110g)"",""calories_per_serving"":""230""},{""display_sequence"":1,""panel_id"":2,""panel_title"":""Per container"",""serving_size"":""11 min pancakes (110g)"",""calories_per_serving"":""660""}]"
"075821","Ginger Shrimp Lo Mein","The classic Chinese-American restaurant menu has nearly too many hits to name. Wonton soup? An absolute 
winner. Chow mein? A total chart-topper. Fried rice? A certified phenom. And for the newest addition to our 
frozen entrée assortment, we're drawing inspiration from one of the greatest hits of them all: lo mein. Made for 
us by a longtime supplier in Thailand who specializes in succulent shrimp dishes, Trader Joe's Ginger Shrimp 
Lo Mein offers all the same rich aromatics, savory flavors, and tantalizingly toothsome textures that made lo 
mein such a legend in the first place.

Inside each package of Trader Joe's Ginger Shrimp Lo Mein, you'll find a pack of wheat noodles, a medley of 
veggies including white cabbage and bell peppers, and a pouch of raw shrimp in a savory ginger-shiitake sauce. 
All it takes is a few minutes of sautéeing in a skillet for these ingredients to go from frozen to steamy, fragrant, 
and ready to eat. Ginger Shrimp Lo Mein can be enjoyed on its own as an entrée for one or two, or combined 
with other dishes as part of a family-style feast: we particularly like pairing it with some garlicky, stir-fried Baby 
Broccoli [sku 47468], and a plate of steamed Chicken Gyoza Potstickers [sku 03663].

Ginger Shrimp Lo Mein","https://www.traderjoes.com/content/dam/trjo/products/m20602/75821.png","5.99","[""Dinner Hack"",""In Lieu of Pizza""]",,"[{""display_sequence"":0,""panel_id"":1,""panel_title"":"""",""serving_size"":""1/3 package (151g)"",""calories_per_serving"":""160""}]"
"053155","Roasted Corn","Trader Joe's Roasted Corn is grown in the sunny valleys of Washington State and harvested at the peak of 
ripeness. It's then roasted over an open flame, adding a smoky dimension to the corn's natural sweetness. After 
roasting, the corn is individually quick frozen to ensure freshness and allow you to use what you like now and 
save the rest for another time. 

If you're looking for a versatile side dish, our Roasted Corn may just fit the bill. The corn is great by itself and 
fits great with a variety of other combinations, especially in ethnic dishes. Once cooked, toss the amount of 
Corn you would like to use for a Mexican-style salad with Organic Black Beans [sku 50262], quinoa, cilantro, 
topped with sweet peppers, onions, avocado and creamy, Cilantro Dressing [sku 36420] with crumbled cotija 
cheese. The Corn makes for a delicious Elote in a cup, also known as Esquites. Just like you would on a corn on 
the cob, add Real Mayonnaise [sku 01482], grated Cotija Cheese [sku 65005], chili powder, and a Trader Joe's 
touch with our crushed Elote Chips [sku 60564]. You'll find each 16-ounce bag of Trader Joe's Roasted Corn 
in our freezers. 

 *Please check QIL to confirm current 

Roasted Corn","https://www.traderjoes.com/content/dam/trjo/products/m20602/53155.png","2.79","[""Alfresco Dining"",""Crack a Beer"",""Dinner Hack"",""Picnic"",""Yes!""]",,"[{""display_sequence"":0,""panel_id"":1,""panel_title"":"""",""serving_size"":""Serving size 2/3 cup frozen (93g)"",""calories_per_serving"":""110""}]"
"078424","Steamed Vegetable Soup Dumplings","From the moment they were introduced, our Steamed Chicken Soup Dumplings [sku 54988] and Steamed 
Pork & Ginger Soup Dumplings [sku 65259] became instant sensations among our customers. Inspired by the 
winsome dim sum tradition of Chinese xiao long bao, these aromatic and savory, soup-filled dumplings are 
such a darling, in fact, that we've received countless requests to make a vegan version, as well. After trying a few 
variations, our tasting panel found that a mix of jackfruit, carrot, cabbage, spinach, and ginger for the filling, 
along with a hearty, aromatic broth (made with vegan-friendly agar-agar, rather than gelatin) made for a truly 
captivating combination-and thus, Trader Joe's Steamed Vegetable Soup Dumplings were born!

Just like our Pork and Chicken variations, our Steamed Vegetable Soup Dumplings can be made in a matter 
of minutes in the microwave or steamer on your stovetop. Also like their predecessors, once heated through, 
the soup inside of them does become quite hot-we recommend serving them in a deep spoon, carefully 
puncturing the top of the side of the dumpling with your teeth or some chopsticks, then letting the soup seep 
into the spoon to cool down until it's ready to slurp. We also heartily recommend enjoying them with a bit of 
Reduced Sodium Soy Sauce [sku 26426] and Crunchy Chili Onion [sku 62480] for an even more satisfying Soup 
Dumpling experience. 

Steamed Vegetable Soup Dumplings","https://www.traderjoes.com/content/dam/trjo/products/m20602/78424.png","3.49","[""Chance of Rain"",""Cold Front"",""Dinner Hack"",""Rain or Shine""]","[""Vegan""]","[{""display_sequence"":0,""panel_id"":1,""panel_title"":null,""serving_size"":""1 Container (170g)"",""calories_per_serving"":""230 ""}]"
"077991","Bubble Waffles","If you're a fan of bubble tea beverages (a.k.a. boba), then chances are you've seen Bubble Waffles sold right 
along with them. Also known as gai daan zai in Cantonese, they first appeared on the Hong Kong street-food 
scene way back in the 1950s. Later nicknamed ""Bubble Waffles,"" at least in part for their uncanny resemblance 
to actual bubble wrap, they've been a standby in cafés, sidewalk stalls, and home kitchens ever since... and now, 
in the freezers at your neighborhood Trader Joe's, too! (We can sense your bubbling joy from here!)

Made with coconut milk, wheat flour, cane sugar, rice bran shortening, and vanilla bean paste, our vegan 
Trader Joe's Bubble Waffles are fluffy yet chewy, sweet yet savory, and simple yet versatile. Heat them from 
frozen in your air fryer, toaster oven, or microwave, and their crispy edges and mochi-like middles are ready 
to be topped with everything from fresh fruit & whipped cream, to Cookie Butter [sku 96761] & bananas, to 
French Vanilla Ice Cream [sku 78576] & All Occasion Sprinkle [sku 77039]. You can even top them with savory 
fare, like shredded Le Gruyère Cheese [sku 97621] and chopped leeks, or fried eggs and Sriracha Sauce [sku 
50828]. Really, the sky's the limit here-don't let anything burst your Bubbles! Except for you, when you're 
eating them, of course.

Bubble Waffles","https://www.traderjoes.com/content/dam/trjo/products/m20602/77991.png","4.49","[""Brunch All Day"",""Family Style"",""Gild The Lily"",""Rain or Shine"",""The \""X\"" Factor""]","[""Vegan""]","[{""display_sequence"":0,""panel_id"":1,""panel_title"":""Per serving"",""serving_size"":""2 waffles (100g)"",""calories_per_serving"":""340 ""},{""display_sequence"":1,""panel_id"":2,""panel_title"":""Per container"",""serving_size"":""2 waffles (100g)"",""calories_per_serving"":""690 ""}]"
"078547","Tropical Green Tea Instant Boba Kit","Two summers back, we brought the proverbial boba shop home with the introduction of our everyday Instant 
Boba Kit [sku 73998], and it's remained a hot ticket in our freezers ever since. So much so, in fact, that when 
approached by a Taiwanese supplier with an opportunity to offer a limited-time, more Tropical-tasting Boba 
Kit, we lept at the chance! You'll be leaping, too, as soon as you get your hands on a Trader Joe's Tropical 
Green Tea Instant Boba Kit.

For about the same price you'd pay for a single boba drink at a café, our Tropical Green Tea Boba Kit contains 
four pouches of vegan, gluten-free, tapioca pearls in a sweet, passion fruit & mango-flavored green tea syrup, 
plus four wide-gauge paper straws to help you capture some of said pearls in every sip. The Boba pearls only 
take a minute in the microwave to heat up; from there, it's just a matter of placing them into the bottom of  a 
glass, adding ice, and pouring in your beverage of choice, like milk, green tea, coconut beverage, or even just 
cold water-anything goes! Then sit back, take a sip, and enjoy the sweet, refreshing, texturally satisfying ride.

Tropical Green Tea Instant Boba Kit","https://www.traderjoes.com/content/dam/trjo/products/m20602/78547.png","4.99","[""Alfresco Dining"",""Heat Wave"",""The \""X\"" Factor""]","[""Gluten Free"",""Vegan""]","[{""display_sequence"":0,""panel_id"":1,""panel_title"":null,""serving_size"":""1 pouch (75g)"",""calories_per_serving"":""140 ""}]"
"075530","Panzerotti Pizza Bites","What look like mini calzones, taste like cheese pizza, and eat like some of the tastiest hors d'oeuvres around? New 
Trader Joe's Panzerotti Pizza Bites, that's what! Made for us in Southern Italy by a supplier who specializes in 
this very appetizer, these two-to-three-bite-sized, lightly fried Pizza pockets take the concept of ""after-school 
pizza rolls"" and elevates it to flavorful new heights!

Picture this: each Trader Joe's Panzerotti Pizza Bite begins with a pleasantly chewy, half-moon-shaped pouch 
of pizza dough, which gets subsequently stuffed with a melty, mozzarella cheese blend and bold Italian tomato 
sauce, then quick-fried in vegetable oil. Simple? Yes. Simply irresistable? Also yes. Just heat them from frozen 
(we're talking 12 minutes in a conventional oven, 8-10 minutes in an air fryer, or 1-2 minutes in a microwave 
here, folks-minimal effort), and you've got one delicious appetizer or snack on your hands... or rather, you've 
got several delicious Panzerotti Pizza Bites in your hands!  

Panzerotti Pizza Bites","https://www.traderjoes.com/content/dam/trjo/products/m20601/75530.png","3.99","[""Alfresco Dining"",""Crack a Beer"",""Family Style"",""Finger Food"",""Game Night"",""Midday Snacks""]",,"[{""display_sequence"":0,""panel_id"":1,""panel_title"":"""",""serving_size"":""3 pieces (85g)"",""calories_per_serving"":""240 ""}]"
"078052","Pad See Ew","An indisputable icon of Thai restaurant menus and street food stalls the world over, pad see ew translates 
to ""fried with soy sauce,"" and was likely popularized within Thailand by Chinese immigrants in the early 
20th century. A bit like a localized, Thai-cuisine-informed variation of chow fun (which was likely a direct 
inspiration), pad see ew is traditionally made with wide, flat rice noodles, which are fried in a wok with various 
veggies and garlic before being finished with a splash of light and dark soy sauce to give it a bold, savory, and 
umami-rich flavor. And that's the same, time-tested technique that our supplier in Thailand uses when making 
Trader Joe's Pad See Ew, a rich, flavorful, and totally vegan version of this classic dish that's now available in 
our freezers.

After mere minutes in the microwave, Trader Joe's Pad See Ew makes an excellent work lunch, dinner entrée, 
or savory side dish. Every bite expresses a delightful depth of flavor, as well as a remarkable range of textures, 
from the tender chewiness of the noodles, to the snap of the carrots and Chinese broccoli, to the soft, tooth-
sink-ability of the tofu chunks and tofu sheets. We recommend serving it alongside our (also vegan) Thai Green 
Curry [sku 70789], some fluffy jasmine rice, and a plate of stir-fried Baby Bok Choy [sku 98253].

Pad See Ew","https://www.traderjoes.com/content/dam/trjo/products/m20602/78052.png","3.79","[""Dinner Hack"",""Feeling Adventurous"",""Make It Meatless"",""Time-pressed""]","[""Vegan""]","[{""display_sequence"":0,""panel_id"":1,""panel_title"":""Per Serving"",""serving_size"":""1/2 container (142g)"",""calories_per_serving"":""300 ""},{""display_sequence"":1,""panel_id"":2,""panel_title"":""Per Container"",""serving_size"":""1/2 container (142g)"",""calories_per_serving"":""600 ""}]"
