"name","description","brand","category","sku","packSize","barcode","imageUrl","link"
"RICE SWEET SHIRAKIKU POLY 5LB 24","","SK","SWEET RICE","#01037","6/ 5 LB","074410010379","https://ecatalog.wismettacusa.com/upload/img/m/9718175045b522373d38b26.38309051.jpg","https://ecatalog.wismettacusa.com/product.php?id=349&branch=LOS"
"RICE BROWN SK POLY 5LB 24","","SK","BROWN RICE","#01038","6/ 5 LB","074410010386","https://ecatalog.wismettacusa.com/upload/img/m/15676073495c0eeb9ba67178.03326027.jpg","https://ecatalog.wismettacusa.com/product.php?id=322&branch=LOS"
"RICE BROWN SWEET SK POLY 5LB 24","","SK","BROWN RICE","#01039","6/ 5 LB","074410010393","https://ecatalog.wismettacusa.com/upload/img/m/12280083785d1155fa5dbb63.37501649.jpg","https://ecatalog.wismettacusa.com/product.php?id=324&branch=LOS"
"RICE SWEET KODA 25LB #00012 24","","KODA","SWEET RICE","#01042","25 LB","074823000127","https://ecatalog.wismettacusa.com/upload/img/m/13489327735b759eb914a048.83744670.jpg","https://ecatalog.wismettacusa.com/product.php?id=350&branch=LOS"
"RICE SWEET KODA 10LB #00113 24","","KODA","SWEET RICE","#01043","6/ 10 LB","074823001131","https://ecatalog.wismettacusa.com/upload/img/m/2653080155b770818dc85c5.96616559.jpg","https://ecatalog.wismettacusa.com/product.php?id=352&branch=LOS"
"RICE SWEET KODA 5LB #00114 24","","KODA","SWEET RICE","#01044","12/ 5 LB","074823001145","https://ecatalog.wismettacusa.com/upload/img/m/01044.jpg","https://ecatalog.wismettacusa.com/product.php?id=354&branch=LOS"
"RICE SWEET SHIRAKIKU 32OZ 24","","SK","SWEET RICE","#01046","24/ 32 OZ","074410010461","https://ecatalog.wismettacusa.com/upload/img/m/2565952165b759f79b2e314.77387573.jpg","https://ecatalog.wismettacusa.com/product.php?id=356&branch=LOS"
"RICE SWEET SHIRAKIKU 100LB 24","","SK","SWEET RICE","#01047","100 LB","N/A","https://ecatalog.wismettacusa.com/upload/img/m/20203822545b75a03a85bbe1.54567085.jpg","https://ecatalog.wismettacusa.com/product.php?id=358&branch=LOS"
"RICE BROWN TSURU 5LB 24","","N/A","BROWN RICE","#01063","6/ 5 LB","073176001584","https://ecatalog.wismettacusa.com/upload/img/m/4504510115b564bff19fc24.89445661.jpg","https://ecatalog.wismettacusa.com/product.php?id=329&branch=LOS"
"RICE BROWN GENJI 15LB 24","","GENJI","BROWN RICE","#01066","15 LB","816682000364","https://ecatalog.wismettacusa.com/upload/img/m/13727215675b5223e28a60b4.36013821.jpg","https://ecatalog.wismettacusa.com/product.php?id=331&branch=LOS"
"RICE BROWN GENJI 4.4LB 24","","GENJI","BROWN RICE","#01069","8/ 4.4 LB","816682000371","https://ecatalog.wismettacusa.com/upload/img/m/10127805485b75a0a745ac85.46767337.jpg","https://ecatalog.wismettacusa.com/product.php?id=333&branch=LOS"
"RICE BROWN CALROSE 50LB 23","","N/A","BROWN RICE","#01071A","50 LB","N/A","https://ecatalog.wismettacusa.com/upload/img/m/9929931995d13b1b2811610.39286460.jpg","https://ecatalog.wismettacusa.com/product.php?id=326&branch=LOS"
"RICE BROWN SUKOYAKA GENMAI 15LB 24","","SK","BROWN RICE","#01077","15 LB","074410010775","https://ecatalog.wismettacusa.com/upload/img/m/01077-1.jpg","https://ecatalog.wismettacusa.com/product.php?id=327&branch=LOS"
"RICE YUKIHIKARI 40LB 24","","SK","SHORT GRAIN","#01112","40LB","074410011123","https://ecatalog.wismettacusa.com/upload/img/m/2413141985d1151a9864574.68457191.jpg","https://ecatalog.wismettacusa.com/product.php?id=47790&branch=LOS"
"RICE SHIRAKIKU CALROSE 40LB 24","","SK","CALROSE","#01113","40 LB","074410011130","https://ecatalog.wismettacusa.com/upload/img/m/4076920805c2ea3f17ebae3.44668477.jpg","https://ecatalog.wismettacusa.com/product.php?id=256&branch=LOS"
"RICE HITOMEBORE PREMIUM SG 50LB 24","","SK","SHORT GRAIN","#01123","50 LB","074410011239","https://ecatalog.wismettacusa.com/upload/img/m/3918264805d11542c7d28a1.34792828.jpg","https://ecatalog.wismettacusa.com/product.php?id=286&branch=LOS"
"RICE SNOW FLAKE MILKYQUEEN 15LB 24","","SK","SHORT GRAIN","#01127","15 LB","074410011277","https://ecatalog.wismettacusa.com/upload/img/m/01127-1.jpg","https://ecatalog.wismettacusa.com/product.php?id=288&branch=LOS"
"RICE COOKED TAMAKI BOWL GOLD","","TAMAKI","COOKED RICE","#01130","12/ 7.4 OZ","018233900004","https://ecatalog.wismettacusa.com/upload/img/m/12105693685c23ff650567a4.69258134.jpg","https://ecatalog.wismettacusa.com/product.php?id=365&branch=LOS"
"RICE SEKKA 4.4LB 24","","SK","RICE OTHER","#01149","8/ 4.4 LB","074410011499","https://ecatalog.wismettacusa.com/upload/img/m/16708812735d11549c55db63.47552946.jpg","https://ecatalog.wismettacusa.com/product.php?id=401&branch=LOS"
"RICE SEKKA 4.4LB 24","","SK","RICE OTHER","#01149K","8/ 4.4 LB","074410011499","https://ecatalog.wismettacusa.com/upload/img/m/42093808967114e85406b34.75820368.jpg","https://ecatalog.wismettacusa.com/product.php?id=104579&branch=LOS"
"RICE BROWN SK 15LB 24","","SK","BROWN RICE","#01150","15 LB","074410011505","https://ecatalog.wismettacusa.com/upload/img/m/01150-1.jpg","https://ecatalog.wismettacusa.com/product.php?id=319&branch=LOS"
"RICE BROWN SWEET SUKOYAKA GABA SPROUT 23","","SK","BROWN RICE","#01171A","15 LB","074410011710","https://ecatalog.wismettacusa.com/upload/img/m/8334657565c0ed4accf1c71.80494334.jpg","https://ecatalog.wismettacusa.com/product.php?id=51665&branch=LOS"
"RICE BROWN GABA KOSHIHIKARI 1KG","","N/A","RICE OTHER","#01185","16/ 2.2 LB","816682000531","https://ecatalog.wismettacusa.com/upload/img/m/01185.JPG","https://ecatalog.wismettacusa.com/product.php?id=405&branch=LOS"
"RICE KOSHIHIKARI PREMIUM SG 50LB 24","","SK","SHORT GRAIN","#01189","50 LB","074410011895","https://ecatalog.wismettacusa.com/upload/img/m/01189-1.jpg","https://ecatalog.wismettacusa.com/product.php?id=297&branch=LOS"
"RICE SNOW FLAKE MILKYQUEEN 4.4LB 24","","SK","SHORT GRAIN","#01193","8/ 4.4 LB","835143000736","https://ecatalog.wismettacusa.com/upload/img/m/01193-1.jpg","https://ecatalog.wismettacusa.com/product.php?id=312&branch=LOS"
"RICE TAMAKI GOLD 15LB 24","","TAMAKI","SHORT GRAIN","#01211","15 LB","097267327711","https://ecatalog.wismettacusa.com/upload/img/m/01211-1.jpg","https://ecatalog.wismettacusa.com/product.php?id=304&branch=LOS"
"RICE CALROSE KAEDE 50LB 24","","SK","CALROSE","#01218","50 LB","07441001161","https://ecatalog.wismettacusa.com/upload/img/m/2879592195c2ea86b859b79.18254496.jpg","https://ecatalog.wismettacusa.com/product.php?id=262&branch=LOS"
"RICE KOSHIHIKARI SG 15LB 24","","SK","SHORT GRAIN","#01250","15 LB","074410012502","https://ecatalog.wismettacusa.com/upload/img/m/18802732995c2ea5e9c8b2f8.24754871.jpg","https://ecatalog.wismettacusa.com/product.php?id=305&branch=LOS"
"RICE AKITA OTOME SG 15LB 24","","SK","SHORT GRAIN","#01251","15 LB","074410012519","https://ecatalog.wismettacusa.com/upload/img/m/01251-1.JPG","https://ecatalog.wismettacusa.com/product.php?id=307&branch=LOS"
"RICE HITOMEBORE SG 15LB 24","","SK","SHORT GRAIN","#01252","15 LB","074410012526","https://ecatalog.wismettacusa.com/upload/img/m/01252-1.jpg","https://ecatalog.wismettacusa.com/product.php?id=300&branch=LOS"
"RICE SEKKA 40LB 24","","SK","RICE OTHER","#01263","40 LB","074410012632","https://ecatalog.wismettacusa.com/upload/img/m/72639105c2ea79b2b2da1.98433369.jpg","https://ecatalog.wismettacusa.com/product.php?id=409&branch=LOS"
"RICE BROWN SUKOYAKA GENMAI 4.4LB 24","","SK","BROWN RICE","#01282","8/ 4.4 LB","074410012823","https://ecatalog.wismettacusa.com/upload/img/m/2563746755d115beb2e4c11.68052827.jpg","https://ecatalog.wismettacusa.com/product.php?id=339&branch=LOS"
"RICE KOSHIHIKARI SG 4.4LB 24","","SK","SHORT GRAIN","#01283","8/ 4.4 LB","074410012830","https://ecatalog.wismettacusa.com/upload/img/m/7605233856707f631627cf3.35246967.jpg","https://ecatalog.wismettacusa.com/product.php?id=308&branch=LOS"
"RICE SEKKA 15LB 24","","SK","RICE OTHER","#01284","15 LB","074410012847","https://ecatalog.wismettacusa.com/upload/img/m/194104375c2eaa724802b1.02419497.jpg","https://ecatalog.wismettacusa.com/product.php?id=410&branch=LOS"
"RICE HIKARI PREMIUM 40LB 24","","SK","MEDIUM GRAIN","#01288","40 LB","074410012885","https://ecatalog.wismettacusa.com/upload/img/m/15284382645c2eab82286277.88665675.jpg","https://ecatalog.wismettacusa.com/product.php?id=275&branch=LOS"
"RICE BROWN SWEET SK 15LB 24","","SK","SWEET RICE","#01295","15 LB","074410012953","https://ecatalog.wismettacusa.com/upload/img/m/5733294555c0eec00451a94.58453567.jpg","https://ecatalog.wismettacusa.com/product.php?id=360&branch=LOS"
"RICE SUKOYAKA 8 GRAIN MIX 12/2 LB","","SK","RICE OTHER","#01300","12/ 2 LB","074410013004","https://ecatalog.wismettacusa.com/upload/img/m/01300-1.jpg","https://ecatalog.wismettacusa.com/product.php?id=408&branch=LOS"
"RICE SHIRAKIKU CALROSE MUSEN 40LB 24","","SK","CALROSE","#01322","40 LB","074410013226","https://ecatalog.wismettacusa.com/upload/img/m/01322-1.jpg","https://ecatalog.wismettacusa.com/product.php?id=265&branch=LOS"
"RICE KOHDA KOKUHO 15LB 24","","KOKUHO","MEDIUM GRAIN","#01324","15 LB","074823201111","https://ecatalog.wismettacusa.com/upload/img/m/17510123655d13b01865a0d7.61325855.jpg","https://ecatalog.wismettacusa.com/product.php?id=282&branch=LOS"
"RICE KOKUHO ROSE 15LB 24","","KOKUHO","MEDIUM GRAIN","#01329","15 LB","073234020021","https://ecatalog.wismettacusa.com/upload/img/m/15738469035b5223aa5fd1c1.43969561.jpg","https://ecatalog.wismettacusa.com/product.php?id=283&branch=LOS"
"RICE KOKUHO ROSE 40LB 24","","KOKUHO","MEDIUM GRAIN","#01330","40 LB","073234020038","https://ecatalog.wismettacusa.com/upload/img/m/20478747035b52252fa03bf7.32228527.jpg","https://ecatalog.wismettacusa.com/product.php?id=284&branch=LOS"
"RICE HIKARI MUSEN 40LB 24","","SK","MEDIUM GRAIN","#01332","40 LB","N/A","https://ecatalog.wismettacusa.com/upload/img/m/01332-1.jpg","https://ecatalog.wismettacusa.com/product.php?id=276&branch=LOS"
"RICE SWEET SHIRAKIKU 15LB 24","","SK","SWEET RICE","#01343","15 LB","074410013431","https://ecatalog.wismettacusa.com/upload/img/m/43962175c0eec1fe90097.61190458.jpg","https://ecatalog.wismettacusa.com/product.php?id=363&branch=LOS"
"RICE JASMINE THAI SUPER PREMIUM 40LB SK","","SK","RICE OTHER","#01359","40 LB","N/A","https://ecatalog.wismettacusa.com/upload/img/m/01359-1.jpg","https://ecatalog.wismettacusa.com/product.php?id=414&branch=LOS"
"RICE COOKED TAMAKI BOWL BROWN","","TAMAKI","COOKED RICE","#01364","12/ 7.4 OZ","018233900028","https://ecatalog.wismettacusa.com/upload/img/m/9156231825c240016125bc8.83046737.jpg","https://ecatalog.wismettacusa.com/product.php?id=371&branch=LOS"
"RICE SG YOROKOBI GOLD 40LB 24","","N/A","SHORT GRAIN","#01379","40 LB","N/A","https://ecatalog.wismettacusa.com/upload/img/m/01379.jpg","https://ecatalog.wismettacusa.com/product.php?id=313&branch=LOS"
"RICE JASMINE THAI SUPER PREMIUM 15LB SK","","SK","RICE OTHER","#01380","15 LB","074410013653","https://ecatalog.wismettacusa.com/upload/img/m/19576346625c0ed56d826e48.88840550.jpg","https://ecatalog.wismettacusa.com/product.php?id=415&branch=LOS"
"RICE KOSHIHIKARI (AU) 40LB","","N/A","SHORT GRAIN","#01468","40 LB","N/A","https://ecatalog.wismettacusa.com/upload/img/m/51866713964b5ab0c2d1277.49781875.jpg","https://ecatalog.wismettacusa.com/product.php?id=56330&branch=LOS"
"FLOUR SWEET MOCHIKO 16OZ KODA #00021","","KODA","FLOUR","#02002","36/ 16 OZ","074823000219","https://ecatalog.wismettacusa.com/upload/img/m/02002-1.jpg","https://ecatalog.wismettacusa.com/product.php?id=425&branch=LOS"
"PANKO BREAD CRUMB 20LB UPPER CRUST","","UPPER CRUST","PANKO","#02031","20 LB","890749001013","https://ecatalog.wismettacusa.com/upload/img/m/7204358175b522761d89939.57088144.jpg","https://ecatalog.wismettacusa.com/product.php?id=440&branch=LOS"
"PANKO BREAD CRUMB 1KG SK","","SK","PANKO","#02034A","10/ 2.2 LB","074410020347","https://ecatalog.wismettacusa.com/upload/img/m/93981598267041b3e092753.39223222.jpg","https://ecatalog.wismettacusa.com/product.php?id=96465&branch=LOS"
"PANKO BREAD CRUMB HONEY 8OZ SK","","SK","PANKO","#02035","36/ 8 OZ","074410020354","https://ecatalog.wismettacusa.com/upload/img/m/02035-1.jpg","https://ecatalog.wismettacusa.com/product.php?id=443&branch=LOS"
"PANKO BREAD CRUMB 36/6.98OZ SK","","SK","PANKO","#02037","36/ 6.98 OZ","074410020378","https://ecatalog.wismettacusa.com/upload/img/m/347781527641b731bc58993.17831322.jpg","https://ecatalog.wismettacusa.com/product.php?id=444&branch=LOS"
"PANKO BREAD CRUMB 36/6.98OZ SK","","SK","PANKO","#02037P","6.98 OZ X 6 PK","074410020378","https://ecatalog.wismettacusa.com/upload/img/m/1945775572670583e11ae0b9.18614176.jpg","https://ecatalog.wismettacusa.com/product.php?id=102924&branch=LOS"
"STARCH CORN 50LB","","FSI","FLOUR, BEANS OTHER","#02042","50 LB","N/A","https://ecatalog.wismettacusa.com/upload/img/m/14156145325b7705fe81ef20.57920818.jpg","https://ecatalog.wismettacusa.com/product.php?id=475&branch=LOS"
"TEMPURA BATTER MIX 10OZ SK","","SK","TEMPURA BATTER MIX","#02043","12/ 10 OZ","074410606107","https://ecatalog.wismettacusa.com/upload/img/m/1807887687620ae72b6db448.31457405.jpg","https://ecatalog.wismettacusa.com/product.php?id=455&branch=LOS"
"TEMPURA BATTER MIX 21.16OZ NISSHIN","","NISSHIN","TEMPURA BATTER MIX","#02046","15/ 21.16 OZ","074410020460","https://ecatalog.wismettacusa.com/upload/img/m/18488755195b75a7fdd20447.06210695.jpg","https://ecatalog.wismettacusa.com/product.php?id=456&branch=LOS"
"TEMPURA BATTER MIX 44LB JAPAN NISSHIN","","NISSHIN","TEMPURA BATTER MIX","#02049","44 LB","N/A","https://ecatalog.wismettacusa.com/upload/img/m/02049-1.jpg","https://ecatalog.wismettacusa.com/product.php?id=454&branch=LOS"
"STARCH POTATO KATAKURIKO 55LB","","POPLA","FLOUR, BEANS OTHER","#02050A","55 LB","N/A","https://ecatalog.wismettacusa.com/upload/img/m/7887430305b75a85349c2f9.26821023.jpg","https://ecatalog.wismettacusa.com/product.php?id=478&branch=LOS"
"STARCH POTATO KATAKURIKO 50LB","","FSI","FLOUR, BEANS OTHER","#02050B","50 LB","N/A","https://ecatalog.wismettacusa.com/upload/img/m/1824282083670d561e283862.13147139.jpg","https://ecatalog.wismettacusa.com/product.php?id=85551&branch=LOS"
"STARCH POTATO KATAKURIKO 5LB SK","","SK","FLOUR, BEANS OTHER","#02051","10/ 5 LB","074410020514","https://ecatalog.wismettacusa.com/upload/img/m/02051-1.jpg","https://ecatalog.wismettacusa.com/product.php?id=479&branch=LOS"
"STARCH POTATO KATAKURIKO 16OZ SK","","SK","FLOUR, BEANS OTHER","#02055","20/ 16 OZ","074410020552","https://ecatalog.wismettacusa.com/upload/img/m/02055-1.jpg","https://ecatalog.wismettacusa.com/product.php?id=480&branch=LOS"
"TEMPURA BATTER MIX TENKA NEW 40LB NISSHI","","NISSHIN","TEMPURA BATTER MIX","#02065","40 LB","074410020651","https://ecatalog.wismettacusa.com/upload/img/m/02065-1.JPG","https://ecatalog.wismettacusa.com/product.php?id=457&branch=LOS"
"STARCH POTATO 300G HINOKUNI","","HINOKUNI","FLOUR, BEANS OTHER","#02069","20/ 10.58 OZ","074410020699","https://ecatalog.wismettacusa.com/upload/img/m/02069.jpg","https://ecatalog.wismettacusa.com/product.php?id=481&branch=LOS"
"STARCH POTATO MARUTOKU 300G HINOKUNI","","HINOKUNI","FLOUR, BEANS OTHER","#02070","30/ 10.58 OZ","074410020705","https://ecatalog.wismettacusa.com/upload/img/m/02070.jpg","https://ecatalog.wismettacusa.com/product.php?id=51337&branch=LOS"
"TEMPURA BATTER MIX A-TYPE 40LB NISSHIN","","NISSHIN","TEMPURA BATTER MIX","#02071","40 LB","N/A","https://ecatalog.wismettacusa.com/upload/img/m/02071-1.jpg","https://ecatalog.wismettacusa.com/product.php?id=458&branch=LOS"
"TEMPURA BATTER MIX 3LB","","SK","TEMPURA BATTER MIX","#02098","10/ 3 LB","N/A","https://ecatalog.wismettacusa.com/upload/img/m/10418203055c0ed5986fc747.54902029.jpg","https://ecatalog.wismettacusa.com/product.php?id=459&branch=LOS"
"PANKO BREAD CRUMB 22LB MISHIMA","","MISHIMA","PANKO","#02117","22 LB","N/A","https://ecatalog.wismettacusa.com/upload/img/m/9334616165e98de6b7e8e31.88532338.jpg","https://ecatalog.wismettacusa.com/product.php?id=448&branch=LOS"
"TEMPURA BATTER MIX CRISPY 30LB BOX SK","","SK","TEMPURA BATTER MIX","#02135","30 LB","N/A","https://ecatalog.wismettacusa.com/upload/img/m/02135-1.jpg","https://ecatalog.wismettacusa.com/product.php?id=460&branch=LOS"
"FLOUR SUPER KAMERIYA DRY YEAST 1.76 OZ","","NISSHIN","FLOUR","#02193","4/ 6/ 1.76 OZ","074410021931","https://ecatalog.wismettacusa.com/upload/img/m/3787394285c40dcdfd39753.07213358.jpg","https://ecatalog.wismettacusa.com/product.php?id=427&branch=LOS"
"BATTER MIX 3.3 LB NS#22","","NIHON SHOKKEN","FLOUR","#02286","6/ 3.3 LB","858114004083","https://ecatalog.wismettacusa.com/upload/img/m/5933202525c9d2f18c888d2.80752225.jpg","https://ecatalog.wismettacusa.com/product.php?id=433&branch=LOS"
"FLOUR OKONOMIYAKIKO 450G OTAFUKU","","OTAFUKU","FLOUR, BEANS OTHER","#02299","10/ 15.9 OZ","780244800108","https://ecatalog.wismettacusa.com/upload/img/m/02299-1.jpg","https://ecatalog.wismettacusa.com/product.php?id=490&branch=LOS"
"FLOUR TAKOYAKIKO 16OZ OTAFUKU","","OTAFUKU","FLOUR","#02374","10/ 16 OZ","780244800207","https://ecatalog.wismettacusa.com/upload/img/m/02374-1.JPG","https://ecatalog.wismettacusa.com/product.php?id=436&branch=LOS"
"KARAAGE BATTER MIX 3.3LB NS#38","","NIHON SHOKKEN","FLOUR","#02383","6/ 3.3 LB","858114004151","https://ecatalog.wismettacusa.com/upload/img/m/381567028642b6340e8edd7.00955148.jpg","https://ecatalog.wismettacusa.com/product.php?id=101820&branch=LOS"
"FLOUR SWEET RICE MOCHIKO 16OZ SK","","SK","FLOUR","#02395","24/ 16 OZ","074410023959","https://ecatalog.wismettacusa.com/upload/img/m/181772892362f54e66c6aad9.55900041.jpg","https://ecatalog.wismettacusa.com/product.php?id=52849&branch=LOS"
"FLOUR SWEET RICE MOCHIKO 16OZ SK","","SK","FLOUR","#02395P","16 OZ X 3 PK","074410023959","https://ecatalog.wismettacusa.com/upload/img/m/68965791167057cd1285dd0.87236406.jpg","https://ecatalog.wismettacusa.com/product.php?id=101994&branch=LOS"
"STARCH ARROWROOT 2.2LB KUZUKO","","YAMAFUKU","FLOUR, BEANS OTHER","#02517","10/ 2.2 LB","074410025175","https://ecatalog.wismettacusa.com/upload/img/m/12483795025b75a9a3c02609.13915109.jpg","https://ecatalog.wismettacusa.com/product.php?id=484&branch=LOS"
"FLOUR KYORIKIKO KAMERIYA 1KG NISSHIN","","NISSHIN","FLOUR","#02518","15/ 2.2 LB","074410025182","https://ecatalog.wismettacusa.com/upload/img/m/1423403805c40dc52c5bef2.87166729.jpg","https://ecatalog.wismettacusa.com/product.php?id=428&branch=LOS"
"FLOUR HAKURIKIKO 1KG NISSHIN","","NISSHIN","FLOUR","#02519","15/ 2.2 LB","074410025199","https://ecatalog.wismettacusa.com/upload/img/m/6484345755c40dc5f9c6442.80252513.jpg","https://ecatalog.wismettacusa.com/product.php?id=429&branch=LOS"
"PANKO BREAD CRUMB HONEY 10.58OZ SK","","SK","PANKO","#02520","24/ 10.58 OZ","074410025205","https://ecatalog.wismettacusa.com/upload/img/m/02520-1.jpg","https://ecatalog.wismettacusa.com/product.php?id=446&branch=LOS"
"TEMPURA BATTER MIX GLD 450G SHOWA SANGYO","","SHOWA SANGYO","TEMPURA BATTER MIX","#02531","20/ 15.87 OZ","074410025311","https://ecatalog.wismettacusa.com/upload/img/m/113424850261a968b6e7e083.24730932.jpg","https://ecatalog.wismettacusa.com/product.php?id=100990&branch=LOS"
"FLOUR HAKURIKIKO VIOLET 1KG NISSHIN","","NISSHIN","FLOUR","#02538","15/ 2.2 LB","074410025380","https://ecatalog.wismettacusa.com/upload/img/m/8495360395c40dc6d673863.38223257.jpg","https://ecatalog.wismettacusa.com/product.php?id=430&branch=LOS"
"TEMPURA BATTER MIX KAROYAKA NISSHIN","","NISSHIN","TEMPURA BATTER MIX","#02552","10/ 2.2 LB","074410025526","https://ecatalog.wismettacusa.com/upload/img/m/12829109805c40de169d37d2.83142834.jpg","https://ecatalog.wismettacusa.com/product.php?id=461&branch=LOS"
"FLOUR SOY BEAN KINAKO 5OZ SK","","SK","FLOUR, BEANS OTHER","#02569","20/ 5 OZ","074410025694","https://ecatalog.wismettacusa.com/upload/img/m/02569-1.jpg","https://ecatalog.wismettacusa.com/product.php?id=485&branch=LOS"
"TEMPURA BATTER MIX 40LB SK","","SK","TEMPURA BATTER MIX","#02622","40 LB","N/A","https://ecatalog.wismettacusa.com/upload/img/m/10912256725ef3e7f083be66.68041813.jpg","https://ecatalog.wismettacusa.com/product.php?id=58851&branch=LOS"
"TENKASU 80G MARUTOMO","","MARUTOMO","DELI OTHER","#02633","8/ 15/ 2.82 OZ","074410026332","https://ecatalog.wismettacusa.com/upload/img/m/02633-1.jpg","https://ecatalog.wismettacusa.com/product.php?id=2118&branch=LOS"
"CF SOFT MIX FRESH PANKO 3GO GAS P LION F","","N/A","PANKO","#02748","5/ 4.4 LB","N/A","https://ecatalog.wismettacusa.com/upload/img/m/2557806625c51e0cd52ebd7.27499909.jpg","https://ecatalog.wismettacusa.com/product.php?id=112481&branch=LOS"
"FLOUR KARAAGEKO KOUBASHI SHIOAJI","","NISSHIN","FLOUR, BEANS OTHER","#02757","4/ 10/ 3.52 OZ","074410027575","https://ecatalog.wismettacusa.com/upload/img/m/1942075000667f00dda60bf8.03171990.jpg","https://ecatalog.wismettacusa.com/product.php?id=114185&branch=LOS"
"FLOUR KARAAGEKO KOUBASHI SHOYUAJI","","NISSHIN","FLOUR, BEANS OTHER","#02776","4/ 10/ 3.52 OZ","074410027766","https://ecatalog.wismettacusa.com/upload/img/m/129582366865fc66143f9223.09980948.jpg","https://ecatalog.wismettacusa.com/product.php?id=114186&branch=LOS"
"FLOUR KARAAGEKO KOUBASHI SHOYU GARLIC","","NISSHIN","FLOUR, BEANS OTHER","#02786","4/ 10/ 3.52 OZ","074410027865","https://ecatalog.wismettacusa.com/upload/img/m/1727604633667f00be7a0f55.21217719.jpg","https://ecatalog.wismettacusa.com/product.php?id=114187&branch=LOS"
"FLOUR SHIRATAMAKO SILVER 150G GISHI","","GISHI","FLOUR, BEANS OTHER","#02789","15/ 5.29 OZ","074410027896","https://ecatalog.wismettacusa.com/upload/img/m/02789-1.jpg","https://ecatalog.wismettacusa.com/product.php?id=483&branch=LOS"
"TEMPURA BATTER MIX EX 700G SHOWA SANGYO","","SHOWA SANGYO","TEMPURA BATTER MIX","#02821","20/ 24.69 OZ","074410028213","https://ecatalog.wismettacusa.com/upload/img/m/143587888961a968da955540.21113475.jpg","https://ecatalog.wismettacusa.com/product.php?id=100989&branch=LOS"
"TEMPURA BATTER MIX CRISPY GOLD 40LB","","NISSHIN","TEMPURA BATTER MIX","#02943","40 LB","060179230240","https://ecatalog.wismettacusa.com/upload/img/m/14279453155cd5a8881572e6.82752139.jpg","https://ecatalog.wismettacusa.com/product.php?id=53356&branch=LOS"
"FLOUR HAKURIKIKO VIOLET 25KG NISSHIN","","NISSHIN","FLOUR","#02977","55 LB","074410029777","https://ecatalog.wismettacusa.com/upload/img/m/7931402325c507999e32ec7.19749316.jpg","https://ecatalog.wismettacusa.com/product.php?id=432&branch=LOS"
"BEANS RED AZUKI 12OZ SK","","SK","BEANS","#03003","48/ 12 OZ","074410030032","https://ecatalog.wismettacusa.com/upload/img/m/03003-1.jpg","https://ecatalog.wismettacusa.com/product.php?id=465&branch=LOS"
