ada,sku,name,proof,size,pack,base_price,license_price,retail_price,group,Level 1 category,Level 2 category,Level 3 category
321,6656,ANCIENT AGE PL,80,1750,6,18.74,17.8,20.99,Alcohol,,,
321,95520,ANCIENT ANCIENT AGE 10 STAR,90,750,12,16.07,15.26,17.99,Alcohol,,,
321,87920,BAKER'S BOURBON,107,750,6,44.62,42.37,49.96,Alcohol,,Whiskey,Bourbon
321,10993,BARTERHOUSE-20 YR,90.2,750,6,71.41,67.85,79.99,Alcohol,,,
321,88780,BASIL HAYDEN'S BOURBON,80,750,6,40.16,38.16,44.99,Alcohol,,Whiskey,Bourbon
321,72672,BASIL HAYDEN'S W/MUDDLER,SPOON,80,750,40.16,38.16,44.99,Alcohol,,,
321,8197,BEAM'S CHOICE,80,750,12,18.74,17.8,20.99,Alcohol,,,
321,90205,BEAM'S CHOICE,80,1750,6,34.82,33.07,38.99,Alcohol,,,
321,5612,BENCHMARK NO. 8,80,750,12,8.91,8.48,9.99,Alcohol,,,
321,10014,BENCHMARK NO. 8 PL,80,375,24,4.89,4.66,5.49,Alcohol,,,
321,5613,BENCHMARK NO. 8 PL,80,1750,6,19.62,18.62,21.96,Alcohol,,,
321,72025,BENCHMARK NO. 8/50ML FIREBA PL,80,1750,6,19.62,18.62,21.96,Alcohol,,,
321,10741,BENCHMARK NO. 8 BROWN SUGAR,70,750,12,9.82,9.32,10.99,Alcohol,,,
321,10687,BENCHMARK NO. 8 BROWN SUGAR PL,70,50,60,0.88,0.85,1,Alcohol,,,
321,10742,BENCHMARK NO. 8 PEACH,70,750,12,9.82,9.32,10.99,Alcohol,,,
321,10688,BENCHMARK NO. 8 PEACH PL,70,50,60,0.88,0.85,1,Alcohol,,,
321,12420,BIB & TUCKER SMALL BATCH BBN,92,750,6,49.11,46.64,54.99,Alcohol,,,
321,9384,BIG HOUSE BOURBON,90,750,6,20.53,19.5,22.99,Alcohol,,Whiskey,Bourbon
321,72421,BIG HOUSE BOURBON W/4 SHOT GLS,90,750,6,20.53,19.5,22.99,Alcohol,,Whiskey,Bourbon
321,10947,BIRD DOG BOURBON,80,50,60,0.87,0.81,0.96,Alcohol,,Whiskey,Bourbon
321,10948,BIRD DOG BOURBON,80,375,12,8.03,7.62,8.99,Alcohol,,Whiskey,Bourbon
321,10956,BIRD DOG BOURBON,80,750,12,16.07,15.26,17.99,Alcohol,,Whiskey,Bourbon
321,10949,BIRD DOG BOURBON,80,1750,4,26.78,25.44,29.99,Alcohol,,Whiskey,Bourbon
321,10164,BLACK MAPLE HILL,95,750,12,58.03,55.12,64.99,Alcohol,,,
321,11674,BLACK MAPLE HILL OREGON BBN,95,750,6,120.98,114.93,135.5,Alcohol,,,
321,7864,BLANTON BBN,93,375,12,26.78,25.44,29.99,Alcohol,,,
321,93730,BLANTON BBN,93,750,6,53.57,50.88,59.99,Alcohol,,,
321,12415,BLOOD OATH,98.6,750,3,80.36,76.33,89.99,Alcohol,,,
321,2791,BOOKER'S,129.2,750,6,53.57,50.88,59.99,Alcohol,,,
321,11183,BOOKER'S 25TH ANNIVERSARY,130.8,750,6,89.28,84.81,99.99,Alcohol,,,
321,9252,BOWMAN BROTHERS,90,750,6,26.78,25.44,29.99,Alcohol,wine,Champagne & Sparkling,
321,10044,BREAKING & ENTERING,86,750,6,35.7,33.92,39.99,Alcohol,,,
321,10216,BRECKENRIDGE BOURBON WHISKEY,86,750,6,37.95,36.06,42.51,Alcohol,spirits,Whiskey,Bourbon
321,10866,BUCK-8 YR,90,750,6,28.57,27.13,31.99,Alcohol,,,
321,6457,BUFFALO TRACE BOURBON,90,375,12,13.37,12.69,14.96,Alcohol,,Whiskey,Bourbon
321,358,BUFFALO TRACE BOURBON,90,750,12,23.2,22.05,25.99,Alcohol,,Whiskey,Bourbon
321,6493,BUFFALO TRACE BOURBON,90,1750,6,44.62,42.37,49.96,Alcohol,,Whiskey,Bourbon
321,11354,BULLEIT BOURBON,90,50,120,2.66,2.54,2.99,Alcohol,,Whiskey,Bourbon
321,11687,BULLEIT BOURBON,90,375,12,14.25,13.54,15.96,Alcohol,,Whiskey,Bourbon
321,2086,BULLEIT BOURBON,90,750,12,25.87,24.56,28.96,Alcohol,,Whiskey,Bourbon
321,7746,BULLEIT BOURBON,90,1000,12,33,31.35,36.96,Alcohol,,Whiskey,Bourbon
321,7747,BULLEIT BOURBON,90,1750,6,49.11,46.64,54.99,Alcohol,,Whiskey,Bourbon
321,72400,BULLEIT BOURBON/50ML KETEL ONE,90,750,12,25.87,24.56,28.96,Alcohol,,Whiskey,Bourbon
321,72579,BULLEIT/RYE W/50ML KETEL ONE,90,750,12,25.87,24.56,28.96,Alcohol,,,
321,9425,BULLEIT BOURBON-10 YR,91.2,750,12,41.95,39.86,46.99,Alcohol,,Whiskey,Bourbon
321,10381,CALUMET FARM,86,750,6,44.62,42.37,49.96,Alcohol,,,
321,72770,CALUMET FARM W/GL,86,750,6,44.62,42.37,49.96,Alcohol,,,
321,12130,COLONEL E.H. TAYLOR BRRL PROOF,129,750,6,62.49,59.37,69.99,Alcohol,,,
321,12560,COLONEL E.H. TAYLOR CURED OAK,100,750,6,62.49,59.37,69.99,Alcohol,wine,Champagne & Sparkling,
321,9690,COLONEL E.H. TAYLOR SM BATCH,100,750,6,35.7,33.92,39.99,Alcohol,,,
321,9254,COLONEL E.H. TAYLOR SNGL BARRL,100,750,6,53.57,50.88,59.99,Alcohol,,,
321,6339,CORNER CREEK RESERVE BOURBON,88,750,12,22.64,21.52,25.37,Alcohol,,Whiskey,Bourbon
321,10274,DANCING PINES BOURBON WHISKEY,88,750,6,44.63,42.41,50,Alcohol,spirits,Whiskey,Bourbon
321,10859,DRY FLY BOURBON 101,101,375,6,32.11,30.49,35.95,Alcohol,,Whiskey,Bourbon
321,2645,EAGLE RARE SINGLE BARREL-10 YR,90,375,12,14.28,13.56,15.99,Alcohol,,,
321,953,EAGLE RARE SINGLE BARREL-10 YR,90,750,6,26.78,25.44,29.99,Alcohol,,,
321,2646,EAGLE RARE SINGLE BARREL-10 YR,90,1750,3,49.11,46.64,54.99,Alcohol,,,
321,11742,EAGLE RARE-17 YR,90,750,3,71.41,67.85,79.99,Alcohol,,,
321,959,ELMER T. LEE,90,750,12,31.24,29.68,34.99,Alcohol,,,
321,89036,EZRA B. SINGLE BARREL BBN,99,750,6,35.7,33.92,39.99,Alcohol,,,
321,9580,EZRA BROOKS CINNAMON,70,750,12,11.14,10.6,12.49,Alcohol,,,
321,1705,EZRA BROOKS SOUR MASH (KY),90,200,48,3.12,2.95,3.48,Alcohol,,,
321,8717,EZRA BROOKS SOUR MASH (KY),90,750,12,11.61,11.02,12.99,Alcohol,,,
321,94250,EZRA BROOKS SOUR MASH (KY),90,1750,6,23.64,22.47,26.49,Alcohol,,,
321,743,EZRA BROOKS SOUR MASH (KY) PL,90,50,120,0.87,0.81,0.96,Alcohol,,,
321,94140,EZRA BROOKS SOUR MASH (KY) PL,90,375,24,5.36,5.08,5.99,Alcohol,,,
321,12338,FORGED OAK-15 YR,90.5,750,6,58.91,55.98,65.99,Alcohol,,,
321,11747,GEORGE T. STAGG,140.6,750,3,71.41,67.85,79.99,Alcohol,,,
321,93900,HANCOCK'S RESERVE BBN,88.9,750,6,49.11,46.64,54.99,Alcohol,,,
321,12405,HIGH WEST AMERICAN PRAIRIE,92,750,6,37.4,35.54,41.9,Alcohol,,,
321,10928,HIGH WEST AMERICAN PRAIRIE RSV,92,375,12,25.71,24.43,28.8,Alcohol,,,
321,10929,HIGH WEST AMERICAN PRAIRIE RSV,92,750,6,37.4,35.54,41.9,Alcohol,,,
321,11004,HIRSCH SMALL BATCH RESERVE,92,750,6,35.7,33.92,39.99,Alcohol,,,
321,12638,I. W. HARPER,82,750,12,26.78,25.44,29.99,Alcohol,,,
321,12567,I. W. HARPER-15 YR,86,750,6,62.49,59.37,69.99,Alcohol,,,
321,4071,JEFFERSON'S,82.3,750,6,30.69,29.16,34.38,Alcohol,,,
321,11039,JEFFERSON'S OCEAN AGED AT SEA,90,750,6,71.41,67.85,79.99,Alcohol,,,
321,4072,JEFFERSON'S RESERVE,90.2,750,6,48.28,45.86,54.07,Alcohol,,,
321,6279,JEREMIAH WEED BLENDED BBN,90,750,12,15.16,14.41,16.99,Alcohol,,,
321,6282,JEREMIAH WEED CHERRY MASH BBN,90,750,12,15.16,14.41,16.99,Alcohol,,,
321,85473,JIM BEAM,80,50,120,1.35,1.27,1.5,Alcohol,,,
321,9244,JIM BEAM,80,100,48,2.66,2.54,2.99,Alcohol,,,
321,9247,JIM BEAM,80,750,12,17.86,16.95,19.99,Alcohol,,,
321,9241,JIM BEAM,80,1000,12,23.2,22.05,25.99,Alcohol,,,
321,9248,JIM BEAM,80,1750,6,33.91,32.23,37.99,Alcohol,,,
321,9242,JIM BEAM PL,80,200,48,5.36,5.08,5.99,Alcohol,,,
321,6854,JIM BEAM PL,80,375,12,9.37,8.89,10.48,Alcohol,,,
321,9257,JIM BEAM PL,80,750,12,17.86,16.95,19.99,Alcohol,,,
321,6855,JIM BEAM (SQUARE),80,375,12,9.37,8.89,10.48,Alcohol,,,
321,72617,JIM BEAM W/MARINADE MIX,80,750,,17.86,16.95,19.99,Alcohol,,,
321,72572,JIM BEAM W/T-SHIRT,80,750,,17.86,16.95,19.99,Alcohol,,,
321,72602,JIM BEAM W/2-50ML,80,750,,17.86,16.95,19.99,Alcohol,,,
321,72674,JIM BEAM W/3-50MLS,80,750,,17.86,16.95,19.99,Alcohol,,,
321,72571,JIM BEAM W/50ML DEVILS CUT,80,750,,17.86,16.95,19.99,Alcohol,,,
321,72316,JIM BEAM W/50ML JACOB'S GHOST,80,375,,9.37,8.89,10.48,Alcohol,,,
321,72300,JIM BEAM W/50ML JACOB'S GHOST,80,750,,17.86,16.95,19.99,Alcohol,,,
321,72380,JIM BEAM W/50ML JB HONEY,80,750,,17.86,16.95,19.99,Alcohol,,,
321,72742,JIM BEAM W/50ML JB KENTKY FIRE,80,375,,9.37,8.89,10.48,Alcohol,,,
321,72743,JIM BEAM W/50ML JB KENTKY FIRE,80,750,,17.86,16.95,19.99,Alcohol,,,
321,72526,JIM BEAM W/50ML JB MAPLE,80,750,,17.86,16.95,19.99,Alcohol,,,
321,72381,JIM BEAM W/50ML RED STAG CIDER,80,375,,9.37,8.89,10.48,Alcohol,wine,Champagne & Sparkling,
321,72429,JIM BEAM W/50ML RED STAG CIDER,80,750,,17.86,16.95,19.99,Alcohol,wine,Champagne & Sparkling,
321,98626,JIM BEAM BLACK,86,375,,11.61,11.02,12.99,Alcohol,,,
321,98636,JIM BEAM BLACK,86,750,,22.32,21.2,24.99,Alcohol,,,
321,4251,JIM BEAM BLACK,86,1000,,28.57,27.13,31.99,Alcohol,,,
321,98646,JIM BEAM BLACK,86,1750,,41.95,39.86,46.99,Alcohol,,,
321,171,JIM BEAM BLACK PL,86,50,,1.35,1.27,1.5,Alcohol,,,
321,72554,JIM BEAM BLACK W/GRILL MITT,86,750,,22.32,21.2,24.99,Alcohol,,,
321,71599,JIM BEAM BLACK W/2 GLS,86,750,,22.32,21.2,24.99,Alcohol,,,
321,72710,JIM BEAM BLACK W/4-50MLS,86,750,,22.32,21.2,24.99,Alcohol,,,
321,72309,JIM BEAM BLACK W/50ML GHOST,86,750,,22.32,21.2,24.99,Alcohol,,,
321,7777,JIM BEAM DEVIL'S CUT,90,50,,0.85,0.8,0.94,Alcohol,,,
321,7874,JIM BEAM DEVIL'S CUT,90,375,,11.61,11.02,12.99,Alcohol,,,
321,7817,JIM BEAM DEVIL'S CUT,90,750,,22.32,21.2,24.99,Alcohol,,,
321,7818,JIM BEAM DEVIL'S CUT,90,1750,,41.95,39.86,46.99,Alcohol,,,
321,72570,JIM BEAM DEVILS CUT W/2-50ML,90,750,,22.32,21.2,24.99,Alcohol,,,
321,72779,JIM BEAM DEVILS CUT/2-50ML,90,750,,22.32,21.2,24.99,Alcohol,,,
321,72308,JIM BEAM DEVILS CUT/50ML GHOST,90,750,,22.32,21.2,24.99,Alcohol,,,
321,11958,JIM BEAM DISTILLERS MASTERPIEC,100,750,,178.57,169.63,199.99,Alcohol,,,
321,9864,JIM BEAM HONEY,70,375,,9.37,8.89,10.48,Alcohol,,,
321,9865,JIM BEAM HONEY,70,750,,17.86,16.95,19.99,Alcohol,,,
321,9866,JIM BEAM HONEY,70,1000,,23.2,22.05,25.99,Alcohol,,,
321,10722,JIM BEAM HONEY,70,1750,,33.91,32.23,37.99,Alcohol,,,
321,9867,JIM BEAM HONEY PL,70,50,,0.85,0.8,0.94,Alcohol,,,
321,12275,JIM BEAM HONEY PL,70,100,,1.61,1.52,1.79,Alcohol,,,
321,12580,JIM BEAM HONEY PL,70,750,,16.07,15.26,17.99,Alcohol,,,
321,11570,JIM BEAM KENTUCKY FIRE,70,50,,0.85,0.8,0.94,Alcohol,,,
321,11571,JIM BEAM KENTUCKY FIRE,70,375,,9.37,8.89,10.48,Alcohol,,,
321,11572,JIM BEAM KENTUCKY FIRE,70,750,,17.86,16.95,19.99,Alcohol,,,
321,11573,JIM BEAM KENTUCKY FIRE,70,1000,,23.2,22.05,25.99,Alcohol,,,
321,12276,JIM BEAM KENTUCKY FIRE PL,70,100,,1.61,1.52,1.79,Alcohol,,,
321,12581,JIM BEAM KENTUCKY FIRE PL,70,750,,16.07,15.26,17.99,Alcohol,,,
321,10493,JIM BEAM MAPLE,70,375,24,9.37,8.89,10.48,Alcohol,,,
321,10494,JIM BEAM MAPLE,70,750,12,17.86,16.95,19.99,Alcohol,,,
321,10495,JIM BEAM MAPLE PL,70,50,120,0.85,0.8,0.94,Alcohol,,,
321,11991,JIM BEAM OPERATION HOMEFRON PL,80,1750,6,31.24,29.68,34.99,Alcohol,,,
321,12222,JIM BEAM SIGNATURE QUARTER CSK,86,750,6,35.7,33.92,39.99,Alcohol,,,
321,10558,JIM BEAM SIGNATURE-12 YR,86,750,6,35.7,33.92,39.99,Alcohol,,,
321,11037,JIM BEAM SINGLE BARREL,95,750,6,35.7,33.92,39.99,Alcohol,,,
321,72753,JIM BEAM SINGLE BARREL W/2 GLS,95,750,6,35.7,33.92,39.99,Alcohol,,,
321,10557,JIM BEAM SPANISH BRANDY FINISH,86,750,6,35.7,33.92,39.99,Alcohol,,,
321,72731,JIM BEAM TRIAL/SHOT GL PL 6PK,70,50,24,9.37,8.89,10.48,Alcohol,,,
321,72501,JIM BEAM VARIETY PL 4PK,80,50,30,4.02,3.82,4.5,Alcohol,,,
321,89283,KNOB CREEK BBN,100,50,60,2.66,2.54,2.99,Alcohol,,,
321,98826,KNOB CREEK BBN,100,375,12,17.86,16.95,19.99,Alcohol,,,
321,84840,KNOB CREEK BBN,100,750,6,32.12,30.5,35.96,Alcohol,,,
321,4204,KNOB CREEK BBN,100,1000,6,40.16,38.16,44.99,Alcohol,,,
321,95670,KNOB CREEK BBN,100,1750,6,64.28,61.06,71.99,Alcohol,,,
321,72430,KNOB CREEK W/2 BBN COLD STONES,100,750,6,32.12,30.5,35.96,Alcohol,,,
321,72675,KNOB CREEK W/2-50MLS,100,750,6,32.12,30.5,35.96,Alcohol,,,
321,7480,KNOB CREEK SINGLE BARREL RESER,120,750,6,42.86,40.7,47.99,Alcohol,,,
321,10614,KNOB CREEK SMOKED MAPLE,90,750,6,32.12,30.5,35.96,Alcohol,,,
321,72732,KNOB CREEK TRAIL/SHOTGL PL 3PK,90,50,40,11.61,11.02,12.99,Alcohol,,,
321,72618,KNOB CREEK VARIETY W/50ML RYE,90,750,6,32.12,30.5,35.96,Alcohol,,,
321,9260,LEXINGTON,86,750,6,24.99,23.74,27.99,Alcohol,,,
321,12261,LOST PROPHET-22 YR,90.1,750,6,107.12,101.75,119.96,Alcohol,,,
321,913,MAKER'S MARK BBN,90,200,24,8.91,8.48,9.99,Alcohol,,,
321,1411,MAKER'S MARK BBN,90,375,12,16.07,15.26,17.99,Alcohol,,,
321,9307,MAKER'S MARK BBN,90,750,12,26.78,25.44,29.99,Alcohol,,,
321,9301,MAKER'S MARK BBN,90,1000,12,35.7,33.92,39.99,Alcohol,,,
321,97346,MAKER'S MARK BBN,90,1750,6,56.24,53.43,62.99,Alcohol,,,
321,9008,MAKER'S MARK PL,90,50,60,2.22,2.11,2.49,Alcohol,,,
321,12516,MAKER'S MARK CASK STRENGTH,113.2,375,12,31.24,29.68,34.99,Alcohol,,,
321,12517,MAKER'S MARK CASK STRENGTH,113.2,750,6,53.57,50.88,59.99,Alcohol,,,
321,6857,MAKERS MARK 46,94,750,6,35.7,33.92,39.99,Alcohol,,,
321,10853,MICHTER'S BOURBON,91.4,750,6,35.61,33.82,39.87,Alcohol,,Whiskey,Bourbon
321,10854,MICHTER'S BOURBON-10 YR,94.4,750,3,75.9,72.12,85.02,Alcohol,,Whiskey,Bourbon
321,10855,MICHTER'S BOURBON-20 YR,114.2,750,1,445.5,423.22,498.96,Alcohol,,Whiskey,Bourbon
321,12025,MICHTER'S TOASTED BRRL FINISH,91.4,750,6,35.61,33.82,39.87,Alcohol,,,
321,10996,OLD BLOWHARD-26 YR,90.7,750,6,133.91,127.23,149.99,Alcohol,,,
321,5409,OLD CHARTER-8 YR,80,750,12,16.07,15.26,17.99,Alcohol,,,
321,9527,OLD CROW,80,750,12,8.03,7.62,8.99,Alcohol,,,
321,90095,OLD CROW,80,1000,12,10.7,10.17,11.99,Alcohol,,,
321,9528,OLD CROW,80,1750,6,17.86,16.95,19.99,Alcohol,,,
321,7016,OLD CROW PL,80,375,12,4.45,4.23,4.99,Alcohol,,,
321,90476,OLD CROW PL,80,750,12,8.03,7.62,8.99,Alcohol,,,
321,6378,OLD CROW RESERVE,86,750,12,10.7,10.17,11.99,Alcohol,,,
321,91696,OLD EZRA-7 YR,101,750,12,14.28,13.56,15.99,Alcohol,,,
321,9642,OLD GRAND DAD,80,200,48,4.45,4.23,4.99,Alcohol,,,
321,9643,OLD GRAND DAD,80,375,24,8.03,7.62,8.99,Alcohol,,,
321,9647,OLD GRAND DAD,80,750,12,15.16,14.41,16.99,Alcohol,,,
321,9641,OLD GRAND DAD,80,1000,12,17.86,16.95,19.99,Alcohol,,,
321,9648,OLD GRAND DAD,80,1750,6,28.57,27.13,31.99,Alcohol,,,
321,86256,OLD GRAND DAD 114,114,750,12,20.53,19.5,22.99,Alcohol,,,
321,10564,OLD MEDLEY-12 YR,86.8,750,6,40.7,38.67,45.59,Alcohol,,,
321,10894,OLD POGUE MASTER'S SELECT,91,750,6,39.88,37.9,44.68,Alcohol,,,
321,9526,OLD RIP VAN WINKLE BBN-10 YR,107,750,6,44.62,42.37,49.96,Alcohol,,,
321,10003,OLD TAYLOR,80,375,24,5.36,5.08,5.99,Alcohol,,,
321,10007,OLD TAYLOR,80,750,12,10.7,10.17,11.99,Alcohol,,,
321,96155,OLD TAYLOR,80,1000,12,13.37,12.69,14.96,Alcohol,,,
321,87940,OLD TAYLOR PL,80,1750,6,21.41,20.35,23.99,Alcohol,,,
321,99786,OLD WELLER 107,107,750,12,22.32,21.2,24.99,Alcohol,,,
321,10464,OLD WELLER 107,107,1750,6,47.32,44.95,52.99,Alcohol,,,
321,11465,OYO MICHELONE RESERVE,90,750,12,41.25,39.19,46.2,Alcohol,,,
321,9530,PAPPY VAN WINKLE FAM RES-15 YR,107,750,3,71.41,67.85,79.99,Alcohol,,,
321,9529,PAPPY VAN WINKLE FAM RES-20 YR,90.4,750,3,133.91,127.23,149.99,Alcohol,,,
321,9531,PAPPY VAN WINKLE FAM RES-23 YR,95.6,750,3,223.2,212.05,249.99,Alcohol,,,
