name,description,product_variants,sku,pack,size,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,category,sub-category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group,Level 1 Category,Level 2 Category,Level 3 Category
Baden Spätburgunder Valley Of The Monkey,"This Pinot Noir presents a perfect interplay of fruit, tannins, and a delicate, balanced sweetness.
",,1094176,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2790109/f10a6cec23389e76592d5.png?1696845203,,https://johnsonbrothers.storefronts.site/p/7PMFF,,,,Affentaler,Wine,Still,Red,,johnson brothers,Niche Import Co,Germany,Alcohol,Wine,Still,Red
Cabernet Sauvignon Mendoza,"Alamos grapes are grown at the foothills of the Andes Mountains at elevations of 3,000 to 5,000 feet, where intense sunlight, cool evening temperatures and mineral-rich irrigation from mountain snowmelt translate to rich wines with intense flavor characteristics.",,1994492,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2259632/b682e0486f53cbdd520b6.png?1650628851,,https://johnsonbrothers.storefronts.site/p/0WW1F,,,,Alamos,Wine,Still,Red,,johnson brothers,Gallo,Argentina,Alcohol,Wine,Still,Red
Malbec Mendoza,"The grapes for our Malbec were handpicked, destemmed and crushed. Prior to fermentation, the must was cold soaked for three days. Fermentation occurred in upright, conical tanks for one week at 85F. Throughout fermentation, we used several pump-overs to extract colour and flavour. After primary fermentation, this wine underwent malolactic fermentation to create a round mouthfeel before six to eight months of aging in French 225 L barrels at a medium toast level.",,1152950,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2259658/c02218aacd271297bbc56.png?1650628882,,https://johnsonbrothers.storefronts.site/p/R8IYO,,,,Alamos,Wine,Still,Red,,johnson brothers,Gallo,Argentina,Alcohol,Wine,Still,Red
Malbec Selección Mendoza,"Alamos from Argentina, provided by Gallo. Enjoy the unique taste and quality.",,1646166,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2259686/024ef420b83aa44ced4ba.png?1650628909,,https://johnsonbrothers.storefronts.site/p/WTUC1,,,,Alamos,Wine,Still,Red,,johnson brothers,Gallo,Argentina,Alcohol,Wine,Still,Red
Red Blend Mendoza,"Alamos from Argentina, provided by Gallo. Enjoy the unique taste and quality.",,1175098,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2259727/8c806de9f8ccc4c31d7ea.png?1650628961,,https://johnsonbrothers.storefronts.site/p/FCQMU,,,,Alamos,Wine,Still,Red,,johnson brothers,Gallo,Argentina,Alcohol,Wine,Still,Red
Prosecco Vino Spumante Extra Dry,"Tropical, toasty aromas of exotic tropical fruit salad, almond caramel cake and spiced apple with a supple, vibrant, effervescent, off-dry medium body and a smooth, delightful, long banana custard, kiwi and melon, and wet limestone finish.",,1207593,6,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3062646/ed94ecb868032c2086de2.png?1712045617,,https://johnsonbrothers.storefronts.site/p/OFM8V,,,,Alberto Nani,Wine,Sparkling,White,,johnson brothers,Enovation Brands,Italy,Alcohol,Wine,Sparkling,White
Amarone della Valpolicella Classico Dry Red Wine,"Intense ruby red tending to garnet, it reveals an extraordinary complexity on the nose, with notes of cherries in spirits and blackberry jam, followed by hints of dried violets, dark chocolate, coffee and tobacco. It takes the palate by surprise with its balance, freshness and softness, enhanced by silky-smooth tannins.",,1866021,6,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3235661/c41f3b021aee946d52ddb.png?1722242766,,https://johnsonbrothers.storefronts.site/p/YW7OY,,,,Allegrini,Wine,Still,Red,,johnson brothers,Gallo,Italy,Alcohol,Wine,Still,Red
Amarone della Valpolicella Classico Fieramonte Riserva,"Particularly intense and compact ruby red in colour, this Amarone opens on the nose with a dominant, broad and toasted scent of coffee and tobacco. On the palate, it impresses with its imposing structure. The tannins are centre stage but not aggressive on the palate, accompanied by a fresh and vital acidity that lengthens and streamlines the mouthfeel.",,1664770,3,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3235022/f2b1494a7c08520739242.png?1722237225,,https://johnsonbrothers.storefronts.site/p/K76KR,,,,Allegrini,Wine,Still,Red,,johnson brothers,Gallo,Italy,Alcohol,Wine,Still,Red
Lugana Oasi Mantellina,"At harvest time, the perfectly ripe grapes yield mature white fruit, with peaches that seem to be embraced by fresh floral notes. The palate immediately registers its typical richness, while the marked acidity provides a sinuous mouthfeel and lends agility.",,1441730,6,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3235111/0c06b1a1f807208125514.png?1722237406,,https://johnsonbrothers.storefronts.site/p/4EL3M,,,,Allegrini,Wine,Still,White,,johnson brothers,Gallo,Italy,Alcohol,Wine,Still,White
Valpolicella,"Ruby red in colour with purplish hues, it expresses a fragrant fruity note dominated by cherry, echoed by fresher nuances of aromatic herbs.",,1427672,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3235073/2293699e5598fb52325c9.png?1722237328,,https://johnsonbrothers.storefronts.site/p/4UX5P,,,,Allegrini,Wine,Still,Red,,johnson brothers,Gallo,Italy,Alcohol,Wine,Still,Red
Veronese Corvina La Poja Monovitigno,"An elegant, sophisticated wine with a noble profile and great aromatic expression. The enveloping and intense scent rises vertically, revealing ripe but still-fresh fruit, followed by notes of toasted tobacco, dark spices and liquorice. It enchants the palate with its extraordinary balance, lengthy persistence and soft, silky tannins.",,1587151,6,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3235573/1282b11392c573ae3bd70.png?1722242464,,https://johnsonbrothers.storefronts.site/p/1R4XM,,,,Allegrini,Wine,Still,Red,,johnson brothers,Gallo,Italy,Alcohol,Wine,Still,Red
Veronese La Grola,"A deep ruby red wine with great character and personality. The scent is broad and enveloping, with hints of blackcurrant, spicy notes of juniper and black pepper, combined with hints of tobacco and coffee. It is fresh and intense on the palate, with superb aromatic persistence.",,1367734,6,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3235607/2bb5b22b1103b8268c9a5.png?1722242640,,https://johnsonbrothers.storefronts.site/p/AUQA2,,,,Allegrini,Wine,Still,Red,,johnson brothers,Gallo,Italy,Alcohol,Wine,Still,Red
Veronese Palazzo Della Torre,"An elegant, harmonious wine with considerable structure and aromaticity. Ruby red in colour with purplish hues, it initially reveals sophisticated notes of vanilla, black pepper and cloves, echoed by gentle nuances of raisined grapes. On the palate it is velvety, with soft tannins and a long and persistent finish.",,1265097,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3235100/d860395ed50bc572bcd5b.png?1722237387,,https://johnsonbrothers.storefronts.site/p/VY4EG,,,,Allegrini,Wine,Still,Red,,johnson brothers,Gallo,Italy,Alcohol,Wine,Still,Red
Vigneti Delle Dolomiti Pinot Grigio,"Pale straw color. On the nose, persistent and aromatic, offering floral notes and nuances of fresh peach and golden apple. Elegantly structured and well balanced on the palate, with a crisp, refreshing character and a long finish.",,1680421,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2527701/6d7eaf85ea885b59285a3.png?1673844006,,https://johnsonbrothers.storefronts.site/p/UG8Q6,,,,Alta Luna,Wine,Still,White,,johnson brothers,Taub Family Selections,Italy,Alcohol,Wine,Still,White
Cabernet Sauvignon,"Our cabernet sauvignon offers scents of blackberry jam, layered with flavors of plum and cassis, finishing with silky, medium tannins.",,1768112,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/276370/02c3b01ecc08f8943c663.png?1616718112,,https://johnsonbrothers.storefronts.site/p/P4S78,,,,Altitude Project,Wine,Still,Red,,johnson brothers,Precept Brands,United States,Alcohol,Wine,Still,Red
Chardonnay,"Our chardonnay is creamy yet clean finishing, complemented by sweet citrus fruits and tropical pineapple flavors.",,1795064,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/276371/ec337521529911228b76c.png?1616718112,,https://johnsonbrothers.storefronts.site/p/PRXC9,,,,Altitude Project,Wine,Still,White,,johnson brothers,Precept Brands,United States,Alcohol,Wine,Still,White
Blush Pink Champagne California,"André from United States, provided by Gallo. Enjoy the unique taste and quality.",,1034440,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2261347/4089919cab196ddc04b83.png?1650719670,,https://johnsonbrothers.storefronts.site/p/K6E0Y,,,,André,Wine,Sparkling,Rosé,,johnson brothers,Gallo,United States,Alcohol,Wine,Sparkling,Rosé
Brut California,"No matter where you’re going, bringing an André Brut can will make a statement. Our driest blend of white grapes results in a taste as bright as the California sunshine they’re grown in.",,1667270,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2261356/d8eab7f4465d8a1021391.png?1650719684,,https://johnsonbrothers.storefronts.site/p/WUXBC,,,,André,Wine,Sparkling,White,,johnson brothers,Gallo,United States,Alcohol,Wine,Sparkling,White
Brut California,"No matter where you’re going, bringing an André Brut can will make a statement. Our driest blend of white grapes results in a taste as bright as the California sunshine they’re grown in.",,1200500,12,375.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2261356/d8eab7f4465d8a1021391.png?1650719684,,https://johnsonbrothers.storefronts.site/p/WUXBC,,,,André,Wine,Sparkling,White,,johnson brothers,Gallo,United States,Alcohol,Wine,Sparkling,White
Brut Rosé California,"André from United States, provided by Gallo. Enjoy the unique taste and quality.",,1878517,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2452916/a40462ef932f461dd9217.png?1664306614,,https://johnsonbrothers.storefronts.site/p/D3Q58,,,,André,Wine,Sparkling,Rosé,,johnson brothers,Gallo,United States,Alcohol,Wine,Sparkling,Rosé
Brut Rosé California,"André from United States, provided by Gallo. Enjoy the unique taste and quality.",,1002411,12,375.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2452916/a40462ef932f461dd9217.png?1664306614,,https://johnsonbrothers.storefronts.site/p/D3Q58,,,,André,Wine,Sparkling,Rosé,,johnson brothers,Gallo,United States,Alcohol,Wine,Sparkling,Rosé
Extra Dry California,"Extra Dry is a semi-dry California champagne. This dry sparkling wine is rich with pear and apple aromas and just enough sugar to make it an excellent mixer.
",,1028551,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2261455/df4658e5aaa0ee89590e9.png?1650719876,,https://johnsonbrothers.storefronts.site/p/HOE7I,,,,André,Wine,Sparkling,White,,johnson brothers,Gallo,United States,Alcohol,Wine,Sparkling,White
Mango Mimosa,"André from United States, provided by Gallo. Enjoy the unique taste and quality.",,1926872,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2592191/263e4efa084979bd10af9.png?1680870957,,https://johnsonbrothers.storefronts.site/p/LQ4UL,,,,André,Wine,Flavored/Fruit,Specialty,,johnson brothers,Gallo,United States,Alcohol,Wine,Flavored/Fruit,Specialty
Moscato Collection Moscato California Champagne,"Moscato features citrus notes with a crisp finish to make this sparkling wine a perfect complement for any occasion. It’s sweet, it’s citrusy, and it’s bubbly.",,1672720,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2261385/3cdf2902f5081b91e3362.png?1650719790,,https://johnsonbrothers.storefronts.site/p/CI60R,,,,André,Wine,Sparkling,White,,johnson brothers,Gallo,United States,Alcohol,Wine,Sparkling,White
Moscato Collection Pink Moscato California Champagne,Pink Moscato has notes of orange and cherry making it the perfect California Champagne for the right amount of elegance and fun.,,1798151,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2261393/fbc54ed04535a3df903ad.png?1650719799,,https://johnsonbrothers.storefronts.site/p/5A3LX,,,,André,Wine,Sparkling,Rosé,,johnson brothers,Gallo,United States,Alcohol,Wine,Sparkling,Rosé
Peach Bellini Wine Cocktail,André Peach Bellini is a cocktail that you can't help but take to the lake day bash. You make the memories—Let us make the drinks.,,1354010,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2261404/70195e9863addb74dd57f.png?1650719812,,https://johnsonbrothers.storefronts.site/p/EZ1ZX,,,,André,Wine,Flavored/Fruit,Specialty,,johnson brothers,Gallo,United States,Alcohol,Wine,Flavored/Fruit,Specialty
Pineapple Mimosa Wine Cocktail,André Pineapple Mimosa is sure to be a fan-favorite so pop a bottle and level-up brunch with your besties. You make the memories—Let us make the drinks.,,1032592,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2261408/3f3ca69a20bc9796e15b9.png?1650719817,,https://johnsonbrothers.storefronts.site/p/YT9Y1,,,,André,Wine,Flavored/Fruit,Specialty,,johnson brothers,Gallo,United States,Alcohol,Wine,Flavored/Fruit,Specialty
Pineapple Mimosa Wine Cocktail,André Pineapple Mimosa is sure to be a fan-favorite so pop a bottle and level-up brunch with your besties. You make the memories—Let us make the drinks.,,1196015,12,375.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2261408/3f3ca69a20bc9796e15b9.png?1650719817,,https://johnsonbrothers.storefronts.site/p/YT9Y1,,,,André,Wine,Flavored/Fruit,Specialty,,johnson brothers,Gallo,United States,Alcohol,Wine,Flavored/Fruit,Specialty
Signature Collection Cold Duck Sweet Sparkling Red California,"Need a conversation starter? The name Cold Duck comes from “Kaltes Ende” which means “Cold End” in German. This referred to the wine making process, but sounded similar to “Kaltes Ente,” which means Cold Duck.

André Cellars® Cold Duck is a sweet sparkling red wine that mixes full fruity notes with a fizzy taste.
",,1346750,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2261366/1b0edc9c454895d7fcd8b.png?1650719750,,https://johnsonbrothers.storefronts.site/p/1VL5V,,,,André,Wine,Sparkling,Red,,johnson brothers,Gallo,United States,Alcohol,Wine,Sparkling,Red
Signature Collection Peach,"Peach is a sweet peach bubbly with notes of peaches, hints of orange, and a crisp finish.
",,1049779,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2286131/34bb2051c7c3d55a826d7.png?1651858299,,https://johnsonbrothers.storefronts.site/p/ZJKN5,,,,André,Wine,Flavored/Fruit,Specialty,,johnson brothers,Gallo,United States,Alcohol,Wine,Flavored/Fruit,Specialty
Signature Collection Strawberry,Strawberry has juicy strawberry and pomegranate aromas with a crisp peach finish. This sweet bubbly has the right amount of acidity making it a perfect pairing for spicy foods.,,1734702,12,375.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2286133/154951ba2d7971eaf124b.png?1651858608,,https://johnsonbrothers.storefronts.site/p/VFBGX,,,,André,Wine,Flavored/Fruit,Specialty,,johnson brothers,Gallo,United States,Alcohol,Wine,Flavored/Fruit,Specialty
Spumante California,"The first thing you’ll notice about André Champagne® Spumante is the massive amounts of bubbles pouring out of the bottle. Light-bodied and sugary, this Spumante is sure to satisfy your sweet tooth.",,1953968,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2261421/c8f25fdba538e6ccfc857.png?1650719831,,https://johnsonbrothers.storefronts.site/p/W2WT5,,,,André,Wine,Sparkling,White,,johnson brothers,Gallo,United States,Alcohol,Wine,Sparkling,White
Strawberry Mimosa,"André from United States, provided by Gallo. Enjoy the unique taste and quality.",,1127095,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2592190/ab35e6d2a5d6755f4f7ff.png?1680870956,,https://johnsonbrothers.storefronts.site/p/EEJ44,,,,André,Wine,Flavored/Fruit,Specialty,,johnson brothers,Gallo,United States,Alcohol,Wine,Flavored/Fruit,Specialty
Sweet Fizzy Sangria Wine Cocktail,André Sweet Fizzy Sangria is perfect for an outdoor picnic or that late night gossip sesh. You make the memories—Let us make the drinks.,,1674149,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2261425/776acad0cd626b3da4b63.png?1650719835,,https://johnsonbrothers.storefronts.site/p/K0JTS,,,,André,Wine,Flavored/Fruit,Specialty,,johnson brothers,Gallo,United States,Alcohol,Wine,Flavored/Fruit,Specialty
Cabernet Sauvignon California,"Our Cabernet Sauvignon is a bright ruby red with violet reflections. With aromas of Fresh red fruits, together with toasted notes of coffee and chocolate, the soft tannins and lingering finish are a perfect pair for grilled red meats.",,1573766,6,1.5,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2115976/9ccef7adeb541af81f83e.png?1638787141,,https://johnsonbrothers.storefronts.site/p/NUA2J,,,,Anthony's Hill,Wine,Still,Red,,johnson brothers,Fetzer Vineyards,United States,Alcohol,Wine,Still,Red
Chardonnay California,"Warm days, balanced by cool maritime breezes, create the crisp, ripe flavors of apple, pear and tropical fruit in our elegant Chardonnay. This wine pairs beautifully with fish, chicken and pork.",,1862078,6,1.5,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2202759/a95edee6b2da752961abf.png?1645622305,,https://johnsonbrothers.storefronts.site/p/4GORS,,,,Anthony's Hill,Wine,Still,White,,johnson brothers,Fetzer Vineyards,United States,Alcohol,Wine,Still,White
Dark Bold Red,"Our red blend develops robust, concentrated flavors of plum, cherry and black fruit. Beautifully balanced, rich and full-bodied, this wine is delicious on its own and pairs perfectly with grilled meats and tomato-based pastas.",,1865923,6,1.5,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2387168/6e557441553e4ff1b9313.png?1657860736,,https://johnsonbrothers.storefronts.site/p/TS53R,,,,Anthony's Hill,Wine,Still,Red,,johnson brothers,Fetzer Vineyards,Chile,Alcohol,Wine,Still,Red
Merlot California,A good Merlot needs early warm weather to reach its peak of ripeness. Our down-to-earth Eagle Peak reflects those warm cherry and berry flavors and goes comfortably with any meal.,,1492471,6,1.5,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2202778/e6664dda2b491fe502c1b.png?1645622323,,https://johnsonbrothers.storefronts.site/p/9J2IJ,,,,Anthony's Hill,Wine,Still,Red,,johnson brothers,Fetzer Vineyards,United States,Alcohol,Wine,Still,Red
Cabernet Sauvignon California,"Apothic from United States, provided by Gallo. Enjoy the unique taste and quality.",,1341662,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2262418/0f7345ac53bcf86bdb477.png?1650886863,,https://johnsonbrothers.storefronts.site/p/PCD9U,,,,Apothic,Wine,Still,Red,,johnson brothers,Gallo,United States,Alcohol,Wine,Still,Red
Chardonnay Chard California,"Apothic from United States, provided by Gallo. Enjoy the unique taste and quality.",,1697176,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2300792/6b5a7c265d23b21123253.png?1653022140,,https://johnsonbrothers.storefronts.site/p/48EY8,,,,Apothic,Wine,Still,White,,johnson brothers,Gallo,United States,Alcohol,Wine,Still,White
Crush Limited Release California,"Apothic from United States, provided by Gallo. Enjoy the unique taste and quality.",,1280641,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/244317/8d3744f347d9cb4293d68.png?1528805545,,https://johnsonbrothers.storefronts.site/p/REMWC,,,,Apothic,Wine,Still,Red,,johnson brothers,Gallo,United States,Alcohol,Wine,Still,Red
Dark Red Blend California,"Apothic from United States, provided by Gallo. Enjoy the unique taste and quality.",,1718713,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/491100/4ccdaadc9020dc5d26e00.png?1616724909,,https://johnsonbrothers.storefronts.site/p/5EFSR,,,,Apothic,Wine,Still,Red,,johnson brothers,Gallo,United States,Alcohol,Wine,Still,Red
Inferno Small Batch Red Blend Limited Release California,"Apothic from United States, provided by Gallo. Enjoy the unique taste and quality.",,1310974,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2263006/7c27d56ccbf2bbc3be841.png?1650893121,,https://johnsonbrothers.storefronts.site/p/G7PE5,,,,Apothic,Wine,Still,Red,,johnson brothers,Gallo,United States,Alcohol,Wine,Still,Red
Merlot Untamed & Unbound California,"Apothic from United States, provided by Gallo. Enjoy the unique taste and quality.",,1268395,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2263081/f31a6945ab57f68a427c4.png?1650894317,,https://johnsonbrothers.storefronts.site/p/4YL7K,,,,Apothic,Wine,Still,Red,,johnson brothers,Gallo,United States,Alcohol,Wine,Still,Red
Pinot Noir California,"Pinot Noir has been described as the minx of the vineyard, an elusive grape that captivates the senses. Apothic Noir features layers of vanilla, dark cherry and raspberry and leaves you with a soft, luscious finish.",,1833273,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/1730989/d790b4de91b96ff9eae52.png?1616734560,,https://johnsonbrothers.storefronts.site/p/MR2PA,,,,Apothic,Wine,Still,Red,,johnson brothers,Gallo,United States,Alcohol,Wine,Still,Red
