description,name,sku,pack,size,gtin,retail_price,is_catch_weight,average_case_weight,image,manufacturer_sku,ordering_unit,is_broken_case,content_url,brand,level_1,level_2,level_3,manufacturer_name,distributor_name,unit_price,extra_data
"Our Rosemary Ham comprises three attached major muscles of the pork leg—inside round, outside round and eye of round. Hand-trimmed, with a thin layer of flavorful cover fat. This ham has an appealing light pink complexion and is seasoned with rosemary.",Rosemary  Ham,M157,,2x5 LB BC,,,,,https://www.chefswarehouse.com/siteassets/pim-images/smoked-cooked-meats-/m157_0.jpg,,,,https://www.chefswarehouse.com/products/M157/,FRA'MANI,,Cheese,,FRA'MANI,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/smoked-cooked-meats-/m157_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Smoked & Cooked Meats"",""sub-category"":""Smoked & Cooked Meats"",""sub-sub-category"":""Smoked & Cooked Meats"",""supplier_name"":"""",""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Dairy & Eggs"",""Level 2 category"":""Cheese"",""Level 3 category"":"""",""product_variants"":[{""code"":""JDE_M157-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""2x5 LB BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""M157""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_M157-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""2x5 LB BC""}}],""businessUnit"":""200001""},{""code"":""JDE_M157-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""2x5 LB BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""M157""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_M157-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""2x5 LB BC""}}],""businessUnit"":""200001""}]}"
"Leoncini uses only carefully selected meat, salt and aromas from ancient recipes to make their pancetta. This maintains intact their natural, typical flavor, the pink color and the compact resistance when sliced.",Imported Flat Pancetta,M149A,,2 x 6.6 LB Case,,,,,https://www.chefswarehouse.com/siteassets/pim-images/pancetta-guanciale/m149a_0.jpg,2.40E+12,,,https://www.chefswarehouse.com/products/M149A/,LEONCINI,,Cheese,,LEONCINI,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/pancetta-guanciale/m149a_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Pancetta & Guanciale"",""sub-category"":""Charcuterie"",""sub-sub-category"":""Pancetta & Guanciale"",""supplier_name"":"""",""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Dairy & Eggs"",""Level 2 category"":""Cheese"",""Level 3 category"":"""",""product_variants"":[{""code"":""JDE_M149A-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""2 x 6.6 LB Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""M149A""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_M149A-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""2 x 6.6 LB Case""}}],""businessUnit"":""200001""},{""code"":""JDE_M149A-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""2 x 6.6 LB Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""M149A""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_M149A-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""2 x 6.6 LB Case""}}],""businessUnit"":""200001""}]}"
"Our Smoked Ham is a whole muscle ham made from the knuckle of the pork leg, situated above the shank. This muscle is lean and dark in color with a distinctively intense flavor. Hand-trussed and smoked over natural hardwood, with an appealing rosy face and a fine texture, especially when sliced thin.",Uncured Smoked Ham,M156,,3x3 LB BC,,,,,https://www.chefswarehouse.com/siteassets/pim-images/salami-cured-meats/m156_0.jpg,,,,https://www.chefswarehouse.com/products/M156/,FRA'MANI,,Cheese,,FRA'MANI,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/salami-cured-meats/m156_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Salami & Cured Meats"",""sub-category"":""Charcuterie"",""sub-sub-category"":""Salami & Cured Meats"",""supplier_name"":"""",""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Dairy & Eggs"",""Level 2 category"":""Cheese"",""Level 3 category"":"""",""product_variants"":[{""code"":""JDE_M156-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""3x3 LB BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""M156""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_M156-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""3x3 LB BC""}}],""businessUnit"":""200001""},{""code"":""JDE_M156-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""3x3 LB BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""M156""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_M156-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""3x3 LB BC""}}],""businessUnit"":""200001""}]}"
"Sopressata is the most well known of the Italian salamis and the most likely to be familiar even to the uninitiated. The Creminelli Sopressata is redolent of garlic and red wine giving it a robust and easy-to-enjoy flavor. Sopressata, also called Sopressa Veneta, got its name from the practice of pressing the salami between planks of wood resulting in a straight, flattened shape. The northern Italian version from Vicenza, in the Veneto region, did away with the pressed shape and has become an international favorite. Creminelli Sopressata is stuffed into a straight natural casing, hand-tied and then slowly cured.",Soppressata Salami,10255349,,9 x 5.5 Oz Case,,,,,https://www.chefswarehouse.com/siteassets/pim-images/salami-cured-meats/10255349_0.jpg,8.54E+11,,,https://www.chefswarehouse.com/products/10255349/,CREMINELLI FINE MEAT,,Cheese,,CREMINELLI FINE MEATS,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/salami-cured-meats/10255349_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Salami & Cured Meats"",""sub-category"":""Charcuterie"",""sub-sub-category"":""Salami & Cured Meats"",""supplier_name"":"""",""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Dairy & Eggs"",""Level 2 category"":""Cheese"",""Level 3 category"":"""",""product_variants"":[{""code"":""JDE_10255349-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""9 x 5.5 Oz Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""10255349""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_10255349-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""9 x 5.5 Oz Case""}}],""businessUnit"":""200001""},{""code"":""JDE_10255349-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""9 x 5.5 Oz Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""10255349""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_10255349-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""9 x 5.5 Oz Case""}}],""businessUnit"":""200001""}]}"
"This sliced pepperoni packs a flavorful bite of the Old World Italian tradition. Made from only the freshest meats and seasonings, this pepperoni is left to dry for a long two-week period to allow a complex harmony of flavors to develop. This pepperoni is sliced while still enclosed in its collagen casing, causing slight shrink and browned, cupped edges when heated. With no fillers and a delightfully lean texture, this pepperoni is a perfect match for pizza, calzones, and stromboli.",Ezzo Giantonio Sliced Pepperoni,10476774,,1x25 LB Case,,,,,https://www.chefswarehouse.com/siteassets/pim-images/salami-cured-meats/10476774_0.jpg,,,,https://www.chefswarehouse.com/products/10476774/,EZZO,,Cheese,,EZZO,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/salami-cured-meats/10476774_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Salami & Cured Meats"",""sub-category"":""Charcuterie"",""sub-sub-category"":""Salami & Cured Meats"",""supplier_name"":"""",""country_of_origin"":""United States"",""Group"":""Food"",""Level 1 Category"":""Dairy & Eggs"",""Level 2 category"":""Cheese"",""Level 3 category"":"""",""product_variants"":[{""code"":""JDE_10476774-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""1x25 LB Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""10476774""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_10476774-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""1x25 LB Case""}}],""businessUnit"":""200001""}]}"
"Inspired by the beautiful Calabria region of southern Italy, Mastro Calabrese Hot Salami is a distinctively spicy, authentic salami with an exceptional taste that is sure to please longtime fans and casual snackers alike.",Hot Calabrese Salami,926946,,4x3 LB BC,,,,,https://www.chefswarehouse.com/siteassets/pim-images/salami-cured-meats/926946_0.jpg,9.01E+13,,,https://www.chefswarehouse.com/products/926946/,MASTRO,,Cheese,,MASTRO SOFINA,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/salami-cured-meats/926946_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Salami & Cured Meats"",""sub-category"":""Charcuterie"",""sub-sub-category"":""Salami & Cured Meats"",""supplier_name"":"""",""country_of_origin"":""Canada"",""Group"":""Food"",""Level 1 Category"":""Dairy & Eggs"",""Level 2 category"":""Cheese"",""Level 3 category"":"""",""product_variants"":[{""code"":""JDE_926946-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""4x3 LB BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""926946""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_926946-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""4x3 LB BC""}}],""businessUnit"":""200001""},{""code"":""JDE_926946-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""4x3 LB BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""926946""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_926946-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""4x3 LB BC""}}],""businessUnit"":""200001""}]}"
"Our genoa salame is a medium grind, garlic salame with a smooth rich flavor and clean finish.",Genoa Salami,M230,,2 x 5 LB Case,,,,,https://www.chefswarehouse.com/siteassets/pim-images/salami-cured-meats/m230_0.jpg,,,,https://www.chefswarehouse.com/products/M230/,VOLPI,,Cheese,,VOLPI FOODS,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/salami-cured-meats/m230_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Salami & Cured Meats"",""sub-category"":""Charcuterie"",""sub-sub-category"":""Salami & Cured Meats"",""supplier_name"":"""",""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Dairy & Eggs"",""Level 2 category"":""Cheese"",""Level 3 category"":"""",""product_variants"":[{""code"":""JDE_M230-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""2 x 5 LB Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""M230""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_M230-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""PC""}},{""field"":""product.packSize"",""prefill"":{""value"":""2 x 5 LB Case""}}],""businessUnit"":""200001""}]}"
,12 Month Boneless Serrano,M304R,,1x12 LB Case,,,,,https://www.chefswarehouse.com/siteassets/pim-images/prosciutto/m304r_0.jpg,,,,https://www.chefswarehouse.com/products/M304R/,MITICA,,Cheese,,REDONDO IGLESIAS,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/prosciutto/m304r_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Prosciutto"",""sub-category"":""Charcuterie"",""sub-sub-category"":""Prosciutto"",""supplier_name"":"""",""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Dairy & Eggs"",""Level 2 category"":""Cheese"",""Level 3 category"":"""",""product_variants"":[{""code"":""JDE_M304R-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""1x12 LB Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""M304R""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_M304R-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""1x12 LB Case""}}],""businessUnit"":""200001""}]}"
"UNCURED PORK JOWLS - With a slightly softer texture than pancetta, guanciale is the key ingredient in an authentic pasta carbonara. Pork jowl cured with fresh herbs, black Tellicherry pepper, garlic, fennel pollen, and a pinch of Calabrian pepper. Made with heritage Berkshire and Duroc pigs raised on family farms. Pork products are made with 100% Berkshire Pork, raised on family farms in southern Minnesota. Theyarenevergivenantibiotics,nogrowthpromotantsorhormones,andare always vegetarian-fed.",Guanciale (Uncured Pork Jowl),10811069,,4 x 1.5 LB Case CW,,,,,https://www.chefswarehouse.com/siteassets/pim-images/pancetta-guanciale/10811069_0.jpg,8.58E+11,,,https://www.chefswarehouse.com/products/10811069/,TEMPESTA,,Cheese,,TEMPESTA,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/pancetta-guanciale/10811069_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Pancetta & Guanciale"",""sub-category"":""Charcuterie"",""sub-sub-category"":""Pancetta & Guanciale"",""supplier_name"":"""",""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Dairy & Eggs"",""Level 2 category"":""Cheese"",""Level 3 category"":"""",""product_variants"":[{""code"":""JDE_10811069-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""4 x 1.5 LB Case CW"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""10811069""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_10811069-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""4 x 1.5 LB Case CW""}}],""businessUnit"":""200001""}]}"
"A versatile, Italian-style cured meat, Molinari & Sons Pancetta is crafted in a traditional manner with various spices to provide an exceptional flavor. Include in a pasta dish or a roasted meat recipe for prime enjoyment.",Pancetta,VN050632,,5x5 LB BC,,,,,https://www.chefswarehouse.com/siteassets/pim-images/pancetta-guanciale/vn050632_0.jpg,7.63E+11,,,https://www.chefswarehouse.com/products/VN050632/,PG MOLINARI,,Cheese,,P.G. MOLINARI & SONS,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/pancetta-guanciale/vn050632_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":{""name"":""Pasteurized"",""text"":""Pasteurized"",""abbreviation"":""Pasteurized""},""category"":""Pancetta & Guanciale"",""sub-category"":""Charcuterie"",""sub-sub-category"":""Pancetta & Guanciale"",""supplier_name"":"""",""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Dairy & Eggs"",""Level 2 category"":""Cheese"",""Level 3 category"":"""",""product_variants"":[{""code"":""JDE_VN050632-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""5x5 LB BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""VN050632""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_VN050632-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""5x5 LB BC""}}],""businessUnit"":""200001""},{""code"":""JDE_VN050632-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""5x5 LB BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""VN050632""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_VN050632-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""5x5 LB BC""}}],""businessUnit"":""200001""}]}"
"Following a traditional French recipe, this large 11-pound Jambon de Paris is perfect for slicing. The texture of this Paris-style cooked ham follows traditional French techniques of wrapping the ham in its own skin for ultimate tenderness. Enjoy and slice this ham paper-thin for your favorite jambon beurre sandwiches, croque monsieur, quiches, party trays, antipasto platters, appetizers & breakfast dishes.",All Natural Jambon De Paris,10657698,,11 LB Case,,,,,https://www.chefswarehouse.com/siteassets/pim-images/smoked-cooked-meats-/10657698_0.jpg,,,,https://www.chefswarehouse.com/products/10657698/,FABRIQUE DELICES,,Cheese,,FABRIQUE DELICES,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/smoked-cooked-meats-/10657698_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Smoked & Cooked Meats"",""sub-category"":""Smoked & Cooked Meats"",""sub-sub-category"":""Smoked & Cooked Meats"",""supplier_name"":"""",""country_of_origin"":""United States"",""Group"":""Food"",""Level 1 Category"":""Dairy & Eggs"",""Level 2 category"":""Cheese"",""Level 3 category"":"""",""product_variants"":[{""code"":""JDE_10657698-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""11 LB Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""10657698""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_10657698-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""11 LB Case""}}],""businessUnit"":""200001""}]}"
Our uncured cooked capocolla is a pork shoulder surrounded in red pepper and slow-cooked to its delicious peak.,Capocolla,V-67022,,2 x 3 LB Case,,,,,https://www.chefswarehouse.com/siteassets/pim-images/salami-cured-meats/10218062_0.jpg,,,,https://www.chefswarehouse.com/products/V-67022/,VOLPI,,Cheese,,VOLPI FOODS,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/salami-cured-meats/10218062_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Salami & Cured Meats"",""sub-category"":""Charcuterie"",""sub-sub-category"":""Salami & Cured Meats"",""supplier_name"":"""",""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Dairy & Eggs"",""Level 2 category"":""Cheese"",""Level 3 category"":"""",""product_variants"":[{""code"":""JDE_V-67022-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""2 x 3 LB Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""V-67022""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_V-67022-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""2 x 3 LB Case""}}],""businessUnit"":""200001""},{""code"":""JDE_V-67022-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""2 x 3 LB Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""V-67022""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_V-67022-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""2 x 3 LB Case""}}],""businessUnit"":""200001""}]}"
"Creminelli Tartufo Salami is a gourmet cured meat that offers a unique and savory flavor experience. Made with high-quality pork that is sourced from small family farms, this salami is seasoned with black summer truffles, which adds a rich and earthy flavor to the meat. The salami is slow-cured and naturally fermented, which gives it a tender and succulent texture. The outside of the salami is coated with a layer of white mold, which is a natural byproduct of the curing process and is completely safe to eat. Creminelli Tartufo Salami is perfect as a snack or appetizer, and can be enjoyed on its own or paired with other meats, cheeses, and crackers. It also makes a great addition to sandwiches, pizzas, and charcuterie boards.",Truffle Salami,10502506,,9 x 5.5 Oz Case,,,,,https://www.chefswarehouse.com/siteassets/pim-images/salami-cured-meats/10502506_0.jpg,,,,https://www.chefswarehouse.com/products/10502506/,CREMINELLI FINE MEAT,,Cheese,,CREMINELLI FINE MEATS,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/salami-cured-meats/10502506_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Salami & Cured Meats"",""sub-category"":""Charcuterie"",""sub-sub-category"":""Salami & Cured Meats"",""supplier_name"":"""",""country_of_origin"":""United States"",""Group"":""Food"",""Level 1 Category"":""Dairy & Eggs"",""Level 2 category"":""Cheese"",""Level 3 category"":"""",""product_variants"":[{""code"":""JDE_10502506-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""9 x 5.5 Oz Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""10502506""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_10502506-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""9 x 5.5 Oz Case""}}],""businessUnit"":""200001""},{""code"":""JDE_10502506-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""9 x 5.5 Oz Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""10502506""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_10502506-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""9 x 5.5 Oz Case""}}],""businessUnit"":""200001""}]}"
