description,name,sku,pack,size,gtin,retail_price,is_catch_weight,average_case_weight,image,manufacturer_sku,ordering_unit,is_broken_case,content_url,brand,level_1,level_2,level_3,manufacturer_name,distributor_name,unit_price,extra_data
"Made for breakfast but delicious any time of day, our Mattinata Breakfast Sausage is lightly seasoned with salt, pepper, red chili pepper, and a touch of sage.",Mattinata Breakfast Sausage,MH107501,,8x12 Oz Case,, ,,,https://www.chefswarehouse.com/siteassets/pim-images/sausage/mh107501_0.jpg,,,,https://www.chefswarehouse.com/products/MH107501/,FRA'MANI,,,,1.09E+12,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/sausage/mh107501_0.jpg"",""avg_case_weight"":null,""dietaryTags"":""sdf"",""category"":""Sausage"",""sub-category"":""Bacon & Sausage "",""sub-sub-category"":""Sausage"",""supplier_name"":null,""country_of_origin"":""United States"",""Group"":""Food"",""Level 1 Category"":""Meat"",""Level 2 Category"":""Pork"",""Level 3 Category"":""Sausage"",""Level 4 Category"":null,""product_variants"":""[{\""code\"":\""JDE_MH107501-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""CS\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Case\"",\""weight\"":\""8x12 Oz Case\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""MH107501\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Case\"",\""options\"":[{\""text\"":\""Case\"",\""value\"":\""Case\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_MH107501-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""CS\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""8x12 Oz Case\""}}],\""businessUnit\"":\""200001\""}]""}"
"Classic Italian Sausage is a Veal, Rabbit product from the Whole part of Lamb.",Classic Italian Sausage,MH107301,,8x12 Oz Case,, ,,,https://www.chefswarehouse.com/siteassets/pim-images/sausage/mh107301_0.jpg,,,,https://www.chefswarehouse.com/products/MH107301/,FRA'MANI,,,,1.09E+13,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/sausage/mh107301_0.jpg"",""avg_case_weight"":null,""dietaryTags"":""sdf"",""category"":""Sausage"",""sub-category"":""Bacon & Sausage "",""sub-sub-category"":""Sausage"",""supplier_name"":null,""country_of_origin"":""United States"",""Group"":""Food"",""Level 1 Category"":""Meat"",""Level 2 Category"":""Beef"",""Level 3 Category"":""Whole"",""Level 4 Category"":""Veal"",""product_variants"":""[{\""code\"":\""JDE_MH107301-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""CS\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Case\"",\""weight\"":\""8x12 Oz Case\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""MH107301\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Case\"",\""options\"":[{\""text\"":\""Case\"",\""value\"":\""Case\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_MH107301-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""CS\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""8x12 Oz Case\""}}],\""businessUnit\"":\""200001\""}]""}"
"100% FOIE GRAS CUBES IN A 1 POUND VACCUM SEALED BAG. GREAT FOR STUFFING, SAUCES, MOUSSE, AND SIDE DISHES (i.e. Foie Gras, Risotto, Mashed Potatoes, Fried Rice)",Foie Gras Cubes,78651,,1 LB Case,, ,,,https://www.chefswarehouse.com/siteassets/pim-images/foie-gras/78651_0.jpg,,,,https://www.chefswarehouse.com/products/78651/,BELLA BELLA,,,,LABELLE FARMS,Chefs' Warehouse,,"{""storage_type"":""Frozen"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/foie-gras/78651_0.jpg"",""avg_case_weight"":null,""dietaryTags"":""sdf"",""category"":""Foie Gras"",""sub-category"":""Foie Gras"",""sub-sub-category"":null,""supplier_name"":null,""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Meat"",""Level 2 Category"":""Pork"",""Level 3 Category"":""Bacon"",""Level 4 Category"":""General"",""product_variants"":""[{\""code\"":\""JDE_78651-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""PC\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Piece\"",\""weight\"":\""1 LB Case\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""78651\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Piece\"",\""options\"":[{\""text\"":\""Piece\"",\""value\"":\""Piece\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_78651-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""PC\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""1 LB Case\""}}],\""businessUnit\"":\""200001\""}]""}"
"Top quality available domestically. Firm & light-colored, without any blemishes or veins.",Whole Grade-A Foie Gras,MF102,,1 Count Case,, ,,,https://www.chefswarehouse.com/siteassets/pim-images/foie-gras/mf102_0.jpg,,,,https://www.chefswarehouse.com/products/MF102/,HUDSON VALLEY,,,,HUDSON VALLEY,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/foie-gras/mf102_0.jpg"",""avg_case_weight"":null,""dietaryTags"":""sdf"",""category"":""Foie Gras"",""sub-category"":""Foie Gras"",""sub-sub-category"":null,""supplier_name"":null,""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Meat"",""Level 2 Category"":""Beef"",""Level 3 Category"":""Whole"",""Level 4 Category"":""Veal"",""product_variants"":""[{\""code\"":\""JDE_MF102-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""PC\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Piece\"",\""weight\"":\""1 Count Case\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""MF102\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Piece\"",\""options\"":[{\""text\"":\""Piece\"",\""value\"":\""Piece\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_MF102-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""PC\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""1 Count Case\""}}],\""businessUnit\"":\""200001\""}]""}"
"The Ultimate indulgence. Our decadent foie gras provides an exquisite balance of velvety mouthfeel giving way to a sweet nutty finish that will keep you coming back for more. By providing our ducks the highest quality feed and the ability to roam freely, we can produce a foie gras of exceptional quality. With one taste you will know why chefs demand Hudson Valley Foie Gras.",Whole Grade-B Foie Gras,MF103,,1 PIece,, ,,,https://www.chefswarehouse.com/siteassets/pim-images/foie-gras/mf103_0.jpg,,,,https://www.chefswarehouse.com/products/MF103/,HUDSON VALLEY,,,,HUDSON VALLEY,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/foie-gras/mf103_0.jpg"",""avg_case_weight"":null,""dietaryTags"":""sdf"",""category"":""Foie Gras"",""sub-category"":""Foie Gras"",""sub-sub-category"":null,""supplier_name"":null,""country_of_origin"":""United States"",""Group"":""Food"",""Level 1 Category"":""Meat"",""Level 2 Category"":""Beef"",""Level 3 Category"":""Whole"",""Level 4 Category"":""Veal"",""product_variants"":""[{\""code\"":\""JDE_MF103-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""PC\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Piece\"",\""weight\"":\""1 PIece\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""MF103\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Piece\"",\""options\"":[{\""text\"":\""Piece\"",\""value\"":\""Piece\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_MF103-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""PC\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""1 PIece\""}}],\""businessUnit\"":\""200001\""}]""}"
Frozen Terrine of Foie Gras,Foie Gras,1602FF38011,,4 x 32.5 Oz Case,, ,,,https://www.chefswarehouse.com/siteassets/pim-images/foie-gras/1602ff38011_0.jpg,79343005560,,,https://www.chefswarehouse.com/products/1602FF38011/,ROUGIE,,,,PALMEX,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/foie-gras/1602ff38011_0.jpg"",""avg_case_weight"":null,""dietaryTags"":""sdf"",""category"":""Foie Gras"",""sub-category"":""Foie Gras"",""sub-sub-category"":null,""supplier_name"":null,""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Meat"",""Level 2 Category"":""Protein (Other)"",""Level 3 Category"":""Tofu"",""Level 4 Category"":""General"",""product_variants"":""[{\""code\"":\""JDE_1602FF38011-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""CS\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Case\"",\""weight\"":\""4 x 32.5 Oz Case\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""1602FF38011\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Case\"",\""options\"":[{\""text\"":\""Case\"",\""value\"":\""Case\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_1602FF38011-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""CS\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""4 x 32.5 Oz Case\""}}],\""businessUnit\"":\""200001\""},{\""code\"":\""JDE_1602FF38011-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""PC\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Piece\"",\""weight\"":\""4 x 32.5 Oz Case\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""1602FF38011\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Piece\"",\""options\"":[{\""text\"":\""Piece\"",\""value\"":\""Piece\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_1602FF38011-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""CS\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""4 x 32.5 Oz Case\""}}],\""businessUnit\"":\""200001\""}]""}"
"Treat yourself to our smooth and velvety Duck Foie Gras Mousse. This fancy spread is delicately spiced to enhance the natural richness of the foie gras, for a delicious and refined taste. Incorporate the mousse into savory profiteroles, accompanied by a light truffle-infused cream sauce and herbs, for a succulent and original appetizer.",Duck Foie Gras Mousse,77735,,6 x 7 Oz Case,, ,,,https://www.chefswarehouse.com/siteassets/pim-images/foie-gras/77735_0.jpg,,,,https://www.chefswarehouse.com/products/77735/,FABRIQUE DELICES,,,,FABRIQUE DELICES,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/foie-gras/77735_0.jpg"",""avg_case_weight"":null,""dietaryTags"":""sdf"",""category"":""Foie Gras"",""sub-category"":""Foie Gras"",""sub-sub-category"":null,""supplier_name"":null,""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Meat"",""Level 2 Category"":""Beef"",""Level 3 Category"":""Bone Marrow"",""Level 4 Category"":""General"",""product_variants"":""[{\""code\"":\""JDE_77735-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""CS\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Case\"",\""weight\"":\""6 x 7 Oz Case\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""77735\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Case\"",\""options\"":[{\""text\"":\""Case\"",\""value\"":\""Case\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_77735-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""CS\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""6 x 7 Oz Case\""}}],\""businessUnit\"":\""200001\""}]""}"
"Grade-A Foie Gras is a Veal, Pheasant product from the Leg part of Exotic Meat.",Grade-A Foie Gras,MF102F,,1x1 Count PACK Piece,, ,,,https://www.chefswarehouse.com/siteassets/pim-images/foie-gras/mf102f_0.jpg,,,,https://www.chefswarehouse.com/products/MF102F/,HUDSON VALLEY,,,,,Chefs' Warehouse,,"{""storage_type"":""Frozen"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/foie-gras/mf102f_0.jpg"",""avg_case_weight"":null,""dietaryTags"":""sdf"",""category"":""Foie Gras"",""sub-category"":""Foie Gras"",""sub-sub-category"":null,""supplier_name"":null,""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Meat"",""Level 2 Category"":""Exotic Meat"",""Level 3 Category"":""Leg"",""Level 4 Category"":""Pheasant"",""product_variants"":""[{\""code\"":\""JDE_MF102F-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""PC\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Piece\"",\""weight\"":\""1x1 Count PACK Piece\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""MF102F\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Piece\"",\""options\"":[{\""text\"":\""Piece\"",\""value\"":\""Piece\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_MF102F-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""PC\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""1x1 Count PACK Piece\""}}],\""businessUnit\"":\""200001\""}]""}"
Frozen Deveined Foie Gras,Deveined Foie Gras,F888,,1x6 Count BC,, ,,,https://www.chefswarehouse.com/siteassets/pim-images/foie-gras/f888_0.jpg,,,,https://www.chefswarehouse.com/products/F888/,ROUGIE,,,,ROUGIE,Chefs' Warehouse,,"{""storage_type"":""Frozen"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/foie-gras/f888_0.jpg"",""avg_case_weight"":null,""dietaryTags"":""sdf"",""category"":""Foie Gras"",""sub-category"":""Foie Gras"",""sub-sub-category"":null,""supplier_name"":null,""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Meat"",""Level 2 Category"":""Lamb"",""Level 3 Category"":""Shank"",""Level 4 Category"":""General"",""product_variants"":""[{\""code\"":\""JDE_F888-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""CS\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Case\"",\""weight\"":\""1x6 Count BC\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""F888\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Case\"",\""options\"":[{\""text\"":\""Case\"",\""value\"":\""Case\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_F888-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""CS\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""1x6 Count BC\""}}],\""businessUnit\"":\""200001\""},{\""code\"":\""JDE_F888-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""PC\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Piece\"",\""weight\"":\""1x6 Count BC\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""F888\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Piece\"",\""options\"":[{\""text\"":\""Piece\"",\""value\"":\""Piece\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_F888-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""CS\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""1x6 Count BC\""}}],\""businessUnit\"":\""200001\""}]""}"
"Foie Gras ""B"" Hudson Valley Fz is a General product from the Ham part of Pork.","Foie Gras ""B"" Hudson Valley Fz",MF103F,,1x1 Count Piece,, ,,,https://www.chefswarehouse.com/siteassets/pim-images/foie-gras/mf103f_0.jpg,,,,https://www.chefswarehouse.com/products/MF103F/,HUDSON VALLEY,,,,HUDSON VALLEY,Chefs' Warehouse,,"{""storage_type"":""Frozen"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/foie-gras/mf103f_0.jpg"",""avg_case_weight"":null,""dietaryTags"":""sdf"",""category"":""Foie Gras"",""sub-category"":""Foie Gras"",""sub-sub-category"":null,""supplier_name"":null,""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Meat"",""Level 2 Category"":""Pork"",""Level 3 Category"":""Ham"",""Level 4 Category"":null,""product_variants"":""[{\""code\"":\""JDE_MF103F-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""PC\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Piece\"",\""weight\"":\""1x1 Count Piece\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""MF103F\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Piece\"",\""options\"":[{\""text\"":\""Piece\"",\""value\"":\""Piece\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_MF103F-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""PC\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""1x1 Count Piece\""}}],\""businessUnit\"":\""200001\""}]""}"
An assortment of veal bones. Great for making stocks and various other soups.,Mixed Veal Bones,MV125,,50 LB Case,, ,,,https://www.chefswarehouse.com/siteassets/pim-images/veal/mv125_0.jpg,,,,https://www.chefswarehouse.com/products/MV125/,MONTPAK,,,,MOSNER,Chefs' Warehouse,,"{""storage_type"":""Frozen"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/veal/mv125_0.jpg"",""avg_case_weight"":null,""dietaryTags"":""sdf"",""category"":""Veal"",""sub-category"":""Lamb & Veal "",""sub-sub-category"":""Veal"",""supplier_name"":null,""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Meat"",""Level 2 Category"":""Beef"",""Level 3 Category"":""Bones"",""Level 4 Category"":""General, Veal"",""product_variants"":""[{\""code\"":\""JDE_MV125-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""CS\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Case\"",\""weight\"":\""50 LB Case\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""MV125\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Case\"",\""options\"":[{\""text\"":\""Case\"",\""value\"":\""Case\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_MV125-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""CS\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""50 LB Case\""}}],\""businessUnit\"":\""200001\""}]""}"
"Treat your taste buds to the succulent and tender flavor of our premium Australian frenched lamb rack cap off. This exceptional cut of meat is hand-selected for its superior quality and exquisite taste, making it the perfect centerpiece for any meal. Expertly trimmed and frenched to perfection, our lamb rack cap off boasts a lean yet juicy texture, with a delicate balance of rich flavor and natural sweetness. Whether roasted, grilled, or seared, this cut of meat is versatile enough to accommodate any cooking method or seasoning.",28+ Oz Cap Off Australian Frenched Lamb Rack,99865,,4 x 28 Oz Case,, ,,,https://www.chefswarehouse.com/siteassets/pim-images/lamb/99865_0.jpg,,,,https://www.chefswarehouse.com/products/99865/,MOSNER,,,,MOSNER,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/lamb/99865_0.jpg"",""avg_case_weight"":null,""dietaryTags"":""sdf"",""category"":""Lamb"",""sub-category"":""Lamb & Veal "",""sub-sub-category"":""Lamb"",""supplier_name"":null,""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Meat"",""Level 2 Category"":""Seafood"",""Level 3 Category"":""Shellfish"",""Level 4 Category"":""General"",""product_variants"":""[{\""code\"":\""JDE_99865-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""CS\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Case\"",\""weight\"":\""4 x 28 Oz Case\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""99865\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Case\"",\""options\"":[{\""text\"":\""Case\"",\""value\"":\""Case\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_99865-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""CS\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""4 x 28 Oz Case\""}}],\""businessUnit\"":\""200001\""}]""}"
"Introducing Allen Brothers Ground Lamb, a premium quality lamb that has been expertly ground and trimmed to perfection. This exquisite ground lamb is sourced from the finest farms and has been carefully selected to ensure the highest quality and flavor. Allen Brothers Ground Lamb has a rich and bold taste, with a juicy texture that is perfect for a variety of dishes. It can be used to make delicious burgers, meatballs, shepherd's pie, or as a filling for savory pastries and dumplings. Our ground lamb is versatile and can be seasoned with a variety of herbs and spices to suit your taste.",80/20 Ground Lamb,AB116,,2x5 LB Case,, ,,,https://www.chefswarehouse.com/siteassets/pim-images/lamb/ab116_0.jpg,,,,https://www.chefswarehouse.com/products/AB116/,ALLEN BROTHERS,,,,,Chefs' Warehouse,,"{""storage_type"":""Frozen"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/lamb/ab116_0.jpg"",""avg_case_weight"":null,""dietaryTags"":""sdf"",""category"":""Lamb"",""sub-category"":""Lamb & Veal "",""sub-sub-category"":""Lamb"",""supplier_name"":null,""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Meat"",""Level 2 Category"":""Beef"",""Level 3 Category"":""Round"",""Level 4 Category"":""General, Veal, Wagyu"",""product_variants"":""[{\""code\"":\""JDE_AB116-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""CS\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Case\"",\""weight\"":\""2x5 LB Case\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""AB116\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Case\"",\""options\"":[{\""text\"":\""Case\"",\""value\"":\""Case\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_AB116-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""CS\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""2x5 LB Case\""}}],\""businessUnit\"":\""200001\""}]""}"
"Introducing Mosner Boneless Leg of Lamb, a premium quality lamb cut that is expertly trimmed and ready to cook. This exquisite cut is sourced from the finest lamb and has been carefully selected to ensure the highest quality and flavor. Mosner Boneless Leg of Lamb has a rich and succulent taste, with a tender texture that melts in your mouth. It is perfect for roasting, grilling, or braising, and can be seasoned with a variety of herbs and spices to suit your taste.
Our boneless leg of lamb is easy to prepare and makes a perfect centerpiece for any occasion. It is a versatile cut that can be served with a variety of sides, such as roasted vegetables, potatoes, or a fresh salad. At Mosner, we pride ourselves on providing our customers with the highest quality meats and cuts",Boneless Lamb Leg,ML104N,,2x7 LB Case CW,, ,,,https://www.chefswarehouse.com/siteassets/pim-images/lamb/ml104n_0.jpg,9.93E+13,,,https://www.chefswarehouse.com/products/ML104N/,MOSNER,,,,MOSNER,Chefs' Warehouse,,"{""storage_type"":""Frozen"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/lamb/ml104n_0.jpg"",""avg_case_weight"":null,""dietaryTags"":""sdf"",""category"":""Lamb"",""sub-category"":""Lamb & Veal "",""sub-sub-category"":""Lamb"",""supplier_name"":null,""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Meat"",""Level 2 Category"":""Exotic Meat"",""Level 3 Category"":""Leg"",""Level 4 Category"":""Pheasant"",""product_variants"":""[{\""code\"":\""JDE_ML104N-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""CS\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Case\"",\""weight\"":\""2x7 LB Case CW\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""ML104N\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Case\"",\""options\"":[{\""text\"":\""Case\"",\""value\"":\""Case\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_ML104N-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""CS\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""2x7 LB Case CW\""}}],\""businessUnit\"":\""200001\""}]""}"
